,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
177,New Mexico NCAA,33,28,5,.848,11.55,3.42,14,4,,,,,2567,2293,,,,.452,.321,.586,51.7,57.9,,9.5,.554,17.9,,.316
178,New Orleans NCAA,30,21,9,.700,5.97,1.47,14,4,,,,,2178,2043,,,,.378,.307,.538,52.6,57.6,,6.3,.510,19.7,,.250
179,Niagara,28,13,15,.464,-8.09,-4.26,6,8,,,,,1780,1887,,,,.395,.289,.495,48.7,59.4,,9.3,.456,20.9,,.263
180,Nicholls State,26,5,21,.192,-15.73,-3.77,5,13,,,,,1724,2035,,,,.371,.247,.472,46.9,47.6,,7.9,.435,19.7,,.240
181,North Carolina-Asheville,28,18,10,.643,-8.55,-7.80,9,5,,,,,2035,1935,,,,.400,.308,.555,50.3,63.3,,8.3,.525,20.4,,.271
182,North Carolina A&T,27,10,17,.370,-21.04,-11.25,7,9,,,,,1799,2014,,,,.380,.260,.504,51.2,47.6,,14.8,.476,22.7,,.237
183,North Carolina-Greensboro NCAA,30,20,10,.667,-1.94,-7.18,11,3,,,,,2129,1972,,,,.411,.311,.551,51.8,60.7,,10.1,.525,19.1,,.269
184,North Carolina State,31,15,16,.484,14.08,7.98,3,13,,,,,2517,2318,,,,.308,.401,.544,51.5,62.2,,8.4,.511,15.9,,.227
185,North Carolina-Wilmington,29,13,16,.448,-0.03,0.94,9,7,,,,,1666,1694,,,,.377,.312,.482,48.9,56.6,,4.9,.451,17.8,,.235
186,North Carolina NCAA,32,21,11,.656,18.02,11.42,10,6,,,,,2484,2273,,,,.328,.317,.575,54.4,60.8,,9.6,.555,16.6,,.220
187,North Texas,28,15,13,.536,-4.92,-5.70,12,6,,,,,1884,1867,,,,.467,.294,.540,48.6,58.7,,5.7,.506,19.0,,.308
188,Northeastern Illinois,27,14,13,.519,-11.31,-10.39,10,8,,,,,2110,2074,,,,.364,.280,.489,47.8,53.2,,6.3,.458,15.6,,.231
189,Northeastern,28,4,24,.143,-15.71,-3.42,2,16,,,,,1823,2167,,,,.359,.216,.466,48.7,41.3,,4.9,.433,19.6,,.226
190,Northern Arizona,26,6,20,.231,-13.08,-3.04,3,11,,,,,1727,1934,,,,.335,.267,.511,49.9,57.1,,4.6,.481,22.2,,.221
191,Northern Illinois NCAA,30,20,10,.667,4.37,-3.60,10,6,,,,,2249,1979,,,,.362,.314,.534,54.5,57.1,,8.8,.507,15.6,,.238
192,Northern Iowa,27,14,13,.519,2.69,1.06,8,10,,,,,2083,2039,,,,.429,.343,.548,47.2,49.1,,7.6,.509,17.9,,.302
193,Northwestern State,26,5,21,.192,-13.78,-6.22,3,15,,,,,1760,1957,,,,.458,.224,.487,51.9,57.4,,5.4,.437,18.9,,.310
194,Northwestern,27,7,20,.259,-3.72,5.95,2,16,,,,,1728,1989,,,,.382,.315,.488,47.7,53.9,,6.2,.454,18.4,,.245
195,Notre Dame,27,9,18,.333,5.99,10.65,4,14,,,,,1803,1929,,,,.373,.277,.499,50.0,61.4,,6.9,.472,20.3,,.232
196,Ohio State,27,10,17,.370,3.20,7.35,3,15,,,,,1808,1920,,,,.403,.225,.517,49.1,56.7,,5.6,.481,22.7,,.269
197,Ohio,30,16,14,.533,4.20,2.55,11,7,,,,,2221,2150,,,,.384,.223,.530,54.3,47.2,,11.6,.493,18.4,,.267
198,Oklahoma State,27,17,10,.630,12.08,6.08,7,7,,,,,1896,1725,,,,.371,.240,.519,52.5,61.7,,5.7,.505,17.8,,.211
199,Oklahoma NCAA,30,17,13,.567,12.80,6.83,8,6,,,,,2371,2192,,,,.318,.296,.530,52.7,56.1,,6.5,.497,14.8,,.225
200,Old Dominion,31,18,13,.581,-0.27,-0.24,12,4,,,,,2209,2209,,,,.418,.277,.547,51.3,62.1,,13.1,.512,20.2,,.287
201,Oral Roberts,27,18,9,.667,-0.28,-4.88,,,,,,,2044,1844,,,,.368,.290,.564,52.0,62.4,,8.4,.547,20.7,,.232
202,Oregon State,27,4,23,.148,-2.33,9.01,2,16,,,,,1518,1818,,,,.354,.308,.483,44.2,55.7,,4.9,.452,22.4,,.223
203,Oregon,29,16,13,.552,7.56,7.21,9,9,,,,,2212,2087,,,,.427,.339,.530,51.7,56.6,,6.6,.500,18.9,,.276
204,Pacific,27,15,12,.556,3.99,-0.55,11,7,,,,,1965,1833,,,,.355,.404,.541,51.5,64.4,,9.5,.517,17.7,,.230
205,Penn State NCAA,28,21,7,.750,17.08,6.33,12,6,,,,,2095,1794,,,,.413,.310,.563,54.3,65.0,,11.7,.532,18.9,,.284
206,Pennsylvania,27,17,10,.630,0.69,-4.87,12,2,,,,,1854,1704,,,,.403,.333,.499,52.0,54.4,,8.8,.464,13.5,,.261
207,Pepperdine,28,10,18,.357,-6.57,-0.83,2,12,,,,,1952,2093,,,,.377,.192,.520,49.2,46.8,,7.7,.490,19.7,,.247
208,Pittsburgh,27,10,17,.370,10.97,9.60,5,13,,,,,1948,1911,,,,.344,.351,.511,48.7,61.2,,9.8,.477,18.8,,.234
209,Portland NCAA,30,19,11,.633,1.75,-0.18,7,7,,,,,2287,2165,,,,.322,.240,.515,47.6,57.7,,5.1,.481,16.0,,.226
210,Prairie View,27,4,23,.148,-31.93,-5.97,0,14,,,,,2214,2696,,,,.319,.290,.486,46.8,43.4,,3.2,.464,20.0,,.191
211,Princeton NCAA,29,22,7,.759,2.53,-4.15,12,2,,,,,1714,1498,,,,.346,.481,.577,48.9,58.1,,6.4,.553,18.1,,.238
212,Providence,30,18,12,.600,12.84,9.44,9,9,,,,,2347,2245,,,,.372,.302,.525,54.1,57.8,,8.3,.485,17.3,,.266
213,Purdue NCAA,32,26,6,.813,17.24,8.49,15,3,,,,,2338,2058,,,,.471,.254,.551,51.5,63.8,,8.4,.516,18.8,,.317
214,Radford,27,14,13,.519,-7.36,-7.56,8,6,,,,,2016,1938,,,,.288,.251,.551,50.1,47.7,,8.1,.521,20.7,,.211
215,Rhode Island,34,20,14,.588,8.85,3.53,8,8,,,,,2599,2418,,,,.372,.292,.521,48.8,57.0,,11.3,.486,15.6,,.253
216,Rice,28,14,14,.500,0.76,1.76,5,9,,,,,1911,1939,,,,.436,.221,.513,49.7,49.6,,7.2,.477,17.4,,.286
217,Richmond,28,8,20,.286,-5.70,0.27,3,13,,,,,1925,2092,,,,.345,.306,.537,50.3,51.8,,7.5,.506,20.7,,.237
218,Rider,30,19,11,.633,-0.57,-5.27,12,6,,,,,2238,2097,,,,.382,.291,.547,48.4,65.7,,10.9,.508,17.1,,.278
219,Robert Morris,28,5,23,.179,-17.71,-7.08,2,16,,,,,1811,2064,,,,.314,.316,.495,48.9,51.9,,2.9,.461,20.4,,.217
220,Rutgers,27,9,18,.333,5.31,10.62,6,12,,,,,1926,2012,,,,.370,.325,.507,47.5,54.8,,9.2,.463,16.6,,.267
221,Sacramento State,27,7,20,.259,-14.27,-2.03,2,4,,,,,1817,2112,,,,.346,.357,.483,49.0,51.9,,9.6,.454,22.4,,.219
222,Saint Francis (PA),27,13,14,.481,-11.62,-5.99,11,7,,,,,1773,1925,,,,.359,.309,.512,49.0,58.8,,7.6,.473,21.8,,.253
223,Saint Joseph's,32,19,13,.594,7.38,4.16,9,7,,,,,2355,2252,,,,.411,.319,.525,52.0,51.5,,5.7,.481,16.8,,.293
224,Saint Louis,30,16,14,.533,4.88,4.52,4,10,,,,,1937,1924,,,,.454,.320,.505,50.4,60.1,,3.8,.461,17.3,,.305
225,Saint Mary's (CA),27,12,15,.444,-1.24,0.02,5,9,,,,,1938,1972,,,,.440,.444,.550,49.1,69.4,,6.7,.521,20.6,,.287
226,Saint Peter's,27,15,12,.556,0.26,-4.63,5,9,,,,,1834,1702,,,,.336,.204,.530,54.0,57.8,,8.6,.497,19.4,,.235
227,Sam Houston State,27,11,16,.407,-7.62,-5.94,9,9,,,,,1977,2027,,,,.445,.332,.550,49.2,72.7,,9.2,.512,19.5,,.308
228,Samford,27,16,11,.593,-6.61,-7.73,11,5,,,,,1854,1770,,,,.505,.477,.564,49.5,53.1,,5.0,.511,16.6,,.377
229,San Diego State,29,15,14,.517,4.01,3.05,8,10,,,,,2200,2154,,,,.358,.258,.530,49.6,57.4,,5.5,.491,18.0,,.258
230,San Diego,28,14,14,.500,-1.53,0.06,6,8,,,,,1906,1930,,,,.444,.311,.547,47.4,61.7,,6.2,.513,19.2,,.300
231,San Francisco,27,15,12,.556,0.33,0.73,8,6,,,,,1758,1727,,,,.445,.281,.529,51.6,55.9,,3.4,.485,19.6,,.312
232,San Jose State NCAA,30,13,17,.433,-3.16,1.21,9,9,,,,,2161,2292,,,,.435,.215,.510,49.9,54.0,,7.1,.474,20.0,,.284
233,Santa Clara NCAA,29,20,9,.690,8.81,4.09,10,4,,,,,2054,1917,,,,.429,.327,.523,51.4,58.7,,6.1,.480,17.8,,.299
234,Seton Hall,28,12,16,.429,7.06,10.88,7,11,,,,,2054,2161,,,,.399,.236,.495,47.5,50.1,,8.2,.462,17.8,,.255
235,Siena,27,5,22,.185,-11.34,-2.38,1,13,,,,,1681,1923,,,,.335,.330,.464,47.8,61.6,,5.0,.428,18.7,,.219
236,South Alabama,27,12,15,.444,-2.91,-1.19,7,11,,,,,1547,1571,,,,.363,.210,.502,51.9,58.3,,7.1,.471,20.7,,.236
237,South Carolina State NCAA,30,22,8,.733,-5.26,-13.08,14,2,,,,,2160,1927,,,,.419,.253,.525,54.6,48.7,,11.2,.495,17.9,,.269
238,South Carolina,31,19,12,.613,11.01,6.23,8,8,,,,,2428,2280,,,,.435,.286,.563,51.7,49.5,,8.4,.527,18.2,,.303
239,South Florida,28,12,16,.429,3.62,3.41,2,12,,,,,1831,1824,,,,.417,.326,.506,52.7,55.0,,9.9,.470,19.5,,.272
240,Southeast Missouri State,27,8,19,.296,-12.22,-4.10,5,11,,,,,1905,2112,,,,.282,.280,.504,47.8,51.3,,8.7,.484,20.9,,.173
241,Southeastern Louisiana,27,15,12,.556,-8.16,-8.12,11,5,,,,,2296,2249,,,,.344,.354,.519,51.3,50.1,,9.1,.492,16.7,,.223
242,Southern California,30,11,19,.367,2.31,7.98,4,14,,,,,2184,2354,,,,.396,.229,.507,46.9,48.8,,9.8,.467,17.8,,.270
243,Southern Illinois,29,11,18,.379,-2.04,1.63,4,14,,,,,2081,2181,,,,.254,.410,.489,47.7,56.9,,6.4,.466,15.2,,.164
244,Southern Methodist,28,8,20,.286,-2.38,5.12,3,11,,,,,1821,1945,,,,.379,.357,.509,51.8,58.0,,5.9,.485,20.0,,.232
245,Southern Mississippi,27,12,15,.444,3.90,5.79,6,8,,,,,1846,1881,,,,.292,.365,.468,48.3,44.2,,7.5,.435,14.3,,.194
246,Southern Utah,28,15,13,.536,-5.01,-3.89,3,3,,,,,2088,1965,,,,.355,.331,.549,49.8,48.7,,4.1,.521,16.0,,.242
247,Southern,28,17,11,.607,-7.79,-11.75,9,5,,,,,2521,2375,,,,.340,.347,.546,45.6,41.5,,4.4,.520,15.4,,.228
248,St. Bonaventure,28,10,18,.357,-0.36,3.35,4,12,,,,,1774,1877,,,,.350,.278,.442,51.5,42.5,,11.6,.404,16.2,,.225
249,St. Francis (NY),27,9,18,.333,-16.79,-10.72,3,15,,,,,1807,1971,,,,.368,.283,.522,50.9,49.2,,6.8,.496,20.6,,.234
250,St. John's (NY),27,11,16,.407,7.51,9.95,5,13,,,,,2055,2121,,,,.417,.242,.521,51.1,55.8,,8.3,.476,18.1,,.296
251,Stanford NCAA,29,20,9,.690,14.85,6.33,12,6,,,,,2181,1934,,,,.446,.270,.545,52.7,63.4,,4.2,.492,16.2,,.338
252,Stephen F. Austin,28,17,11,.607,-6.41,-6.72,11,7,,,,,2231,2181,,,,.409,.349,.523,51.6,61.9,,4.4,.489,16.6,,.270
253,Stetson,27,10,17,.370,-11.99,-5.79,6,10,,,,,1833,1945,,,,.315,.323,.542,48.8,57.9,,7.4,.505,20.5,,.236
254,Syracuse NCAA,38,29,9,.763,18.99,11.35,12,6,,,,,2897,2607,,,,.414,.251,.549,50.7,63.7,,10.1,.511,17.9,,.292
255,Temple NCAA,33,20,13,.606,11.08,9.29,12,4,,,,,1981,1922,,,,.345,.340,.470,52.5,46.4,,8.5,.440,15.6,,.215
256,Tennessee-Martin,27,13,14,.481,-8.79,-4.58,9,7,,,,,2023,2054,,,,.375,.288,.556,47.2,62.4,,3.2,.528,20.4,,.252
257,Tennessee State,28,15,13,.536,-6.66,-4.40,11,5,,,,,2086,2149,,,,.293,.276,.507,53.0,47.6,,6.7,.473,18.1,,.208
258,Tennessee Tech,28,13,15,.464,-6.47,-4.99,7,9,,,,,2220,2135,,,,.384,.294,.526,52.6,55.3,,11.6,.499,18.3,,.245
259,Tennessee,29,14,15,.483,8.72,9.20,6,10,,,,,1813,1827,,,,.443,.311,.525,50.8,62.4,,8.0,.491,20.5,,.289
260,Texas A&M,27,11,16,.407,-0.68,0.46,3,11,,,,,1815,1846,,,,.349,.336,.527,47.4,64.6,,9.2,.495,20.7,,.239
261,Texas-Arlington,26,11,15,.423,-11.08,-6.76,7,11,,,,,1868,1962,,,,.447,.277,.535,49.8,61.3,,5.8,.503,18.6,,.291
262,Texas Christian,30,15,15,.500,0.10,2.89,6,8,,,,,2519,2552,,,,.359,.256,.508,49.0,56.5,,10.4,.469,15.7,,.251
263,Texas-El Paso,28,13,15,.464,3.63,4.59,4,14,,,,,2037,1992,,,,.415,.303,.555,51.3,50.4,,6.0,.517,15.5,,.294
264,Texas-Rio Grande Valley,28,9,19,.321,-5.52,-1.19,6,12,,,,,1699,1789,,,,.355,.274,.474,49.0,55.4,,5.6,.445,20.6,,.220
265,Texas-San Antonio,28,14,14,.500,-6.03,-4.69,12,6,,,,,2149,2187,,,,.410,.305,.540,50.9,56.6,,8.1,.505,20.0,,.281
266,Texas Southern,26,11,15,.423,-15.69,-7.82,7,7,,,,,2052,2191,,,,.429,.304,.515,48.8,43.3,,10.4,.467,15.8,,.306
267,Texas State,26,11,15,.423,-11.43,-6.18,7,11,,,,,1602,1674,,,,.389,.215,.489,53.1,55.6,,4.7,.453,20.8,,.254
268,Texas Tech NCAA,32,30,2,.938,14.86,2.11,14,0,,,,,2629,2221,,,,.429,.360,.551,53.9,61.7,,8.2,.521,14.7,,.283
269,Texas NCAA,31,21,10,.677,12.44,5.06,10,4,,,,,2535,2306,,,,.358,.348,.501,50.5,47.9,,7.2,.468,15.1,,.238
270,Toledo,32,18,14,.563,2.57,1.85,9,9,,,,,2356,2249,,,,.452,.233,.581,50.7,60.3,,4.0,.537,17.9,,.337
271,Towson,28,16,12,.571,-2.15,-2.82,11,7,,,,,2102,2065,,,,.296,.188,.525,50.3,48.6,,6.5,.497,16.5,,.204
272,Troy,27,11,16,.407,-19.17,-11.65,8,10,,,,,2551,2619,,,,.306,.423,.533,46.0,46.6,,5.6,.502,14.7,,.217
273,Tulane,32,22,10,.688,11.43,4.87,9,5,,,,,2478,2268,,,,.393,.279,.534,50.2,58.7,,12.5,.510,17.8,,.248
274,Tulsa NCAA,30,22,8,.733,12.92,1.52,12,6,,,,,2292,1950,,,,.479,.302,.529,55.3,63.4,,11.1,.491,18.8,,.317
275,UCLA NCAA,31,23,8,.742,14.15,7.34,16,2,,,,,2399,2188,,,,.425,.185,.588,54.4,56.6,,12.2,.563,21.3,,.287
276,Utah State,33,18,15,.545,0.66,0.00,10,8,,,,,2346,2245,,,,.515,.225,.549,57.3,60.6,,5.1,.511,20.3,,.344
277,Utah NCAA,34,27,7,.794,18.52,6.42,15,3,,,,,2609,2171,,,,.449,.270,.583,56.9,60.3,,8.2,.531,17.7,,.352
278,Valparaiso NCAA,32,21,11,.656,-5.13,-9.20,13,5,,,,,2503,2346,,,,.371,.280,.557,54.0,57.0,,4.9,.532,17.6,,.247
279,Vanderbilt,32,18,14,.563,7.95,7.14,7,9,,,,,2421,2371,,,,.377,.289,.538,49.3,52.4,,5.7,.502,15.5,,.263
280,Vermont,27,12,15,.444,-9.96,-4.76,10,8,,,,,2012,2123,,,,.365,.365,.515,46.2,53.2,,9.4,.473,16.4,,.263
281,Villanova NCAA,33,26,7,.788,20.34,11.46,14,4,,,,,2492,2199,,,,.398,.320,.553,51.5,62.7,,13.4,.519,16.7,,.278
282,Virginia Commonwealth NCAA,33,24,9,.727,7.42,-0.09,14,2,,,,,2438,2190,,,,.407,.253,.535,55.7,57.6,,9.7,.507,19.7,,.265
283,VMI,28,18,10,.643,-3.39,-4.59,10,4,,,,,2358,2228,,,,.321,.335,.527,49.7,48.5,,5.8,.486,17.5,,.242
284,Virginia Tech NCAA,29,23,6,.793,11.52,4.25,13,3,,,,,2036,1825,,,,.333,.239,.536,51.9,61.9,,8.2,.505,15.4,,.232
285,Virginia,27,12,15,.444,12.31,11.64,6,10,,,,,1875,1857,,,,.351,.330,.509,50.9,46.3,,11.6,.472,16.0,,.244
286,Wagner,27,10,17,.370,-9.83,-7.79,7,11,,,,,1994,2049,,,,.375,.337,.520,48.6,53.4,,10.7,.476,17.7,,.274
287,Wake Forest NCAA,32,26,6,.813,18.26,10.73,12,4,,,,,2204,1963,,,,.375,.380,.574,53.6,56.7,,13.6,.545,19.0,,.264
288,Washington State,29,17,12,.586,10.14,5.86,8,10,,,,,2192,2068,,,,.382,.278,.556,50.3,57.7,,6.5,.519,19.1,,.277
289,Washington,28,16,12,.571,7.81,5.27,9,9,,,,,1960,1889,,,,.382,.257,.507,49.7,59.0,,8.7,.480,20.4,,.238
290,Weber State,30,20,10,.667,4.15,-0.53,10,4,,,,,2524,2350,,,,.382,.327,.605,50.8,60.2,,6.5,.568,17.8,,.294
291,West Virginia,27,12,15,.444,10.95,8.17,7,11,,,,,2152,2077,,,,.407,.251,.539,49.6,56.0,,8.9,.510,17.7,,.265
292,Western Carolina NCAA,30,17,13,.567,-4.85,-4.30,10,4,,,,,2431,2397,,,,.373,.270,.553,48.7,53.3,,6.7,.521,17.7,,.261
293,Western Illinois,29,17,12,.586,-12.38,-10.12,12,6,,,,,2147,2159,,,,.381,.232,.534,50.2,59.3,,8.0,.504,20.5,,.253
294,Western Kentucky,27,13,14,.481,2.89,0.85,10,8,,,,,2056,2004,,,,.351,.338,.538,48.7,52.5,,6.5,.502,18.5,,.250
295,Western Michigan,27,15,12,.556,2.88,1.84,13,5,,,,,1903,1875,,,,.369,.240,.551,49.4,56.1,,7.0,.519,20.5,,.257
296,Wichita State,29,8,21,.276,-3.02,2.74,4,14,,,,,1770,1937,,,,.343,.235,.455,51.5,61.1,,5.6,.421,19.4,,.217
297,William & Mary,26,10,16,.385,-2.86,-1.46,6,10,,,,,1923,1925,,,,.421,.320,.545,49.8,54.9,,10.6,.521,19.5,,.265
298,Winthrop,26,7,19,.269,-17.86,-5.26,6,8,,,,,1780,2081,,,,.345,.347,.509,49.3,56.9,,6.6,.480,20.7,,.224
299,Wisconsin,32,17,15,.531,7.89,7.80,8,10,,,,,2114,2073,,,,.407,.330,.530,50.5,57.2,,8.0,.491,19.6,,.283
300,Wofford,26,4,22,.154,-22.22,-2.39,,,,,,,1684,2066,,,,.229,.316,.485,45.1,57.5,,2.3,.460,18.6,,.156
301,Wright State,27,14,13,.519,-1.72,-0.49,8,8,,,,,1984,1967,,,,.424,.166,.533,50.7,55.9,,4.6,.499,19.4,,.282
302,Wyoming,29,14,15,.483,2.70,5.78,8,10,,,,,2146,2168,,,,.442,.330,.526,50.5,51.7,,6.6,.476,16.9,,.321
303,Xavier,28,13,15,.464,3.24,2.24,8,8,,,,,2110,2082,,,,.554,.258,.533,50.0,54.3,,7.0,.477,19.9,,.392
304,Yale,26,8,18,.308,-16.11,-7.79,3,11,,,,,1598,1798,,,,.371,.267,.491,48.0,47.9,,6.1,.450,19.2,,.255
305,Youngstown State,27,12,15,.444,-12.18,-12.50,7,11,,,,,1828,1754,,,,.349,.287,.504,53.5,59.8,,6.4,.478,18.6,,.220
