,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
177,Nicholls State,28,19,9,.679,-1.88,-7.15,12,6,,,,,2492,2252,,,,.379,.225,.540,52.7,50.8,,5.1,.516,16.0,,.243
178,North Carolina-Asheville,27,3,24,.111,-19.75,-5.50,1,17,,,,,1634,1969,,,,.275,.303,.500,48.6,58.8,,3.1,.481,25.5,,.170
179,North Carolina A&T NCAA,30,16,14,.533,-10.14,-7.89,10,6,,,,,2265,2320,,,,.505,.269,.551,49.6,44.5,,5.2,.508,22.0,,.350
180,North Carolina-Greensboro,27,15,12,.556,-5.55,-8.55,11,7,,,,,1983,1902,,,,.344,.295,.527,54.7,53.1,,11.3,.500,19.7,,.227
181,North Carolina State,30,11,19,.367,1.48,7.41,5,11,,,,,2072,2239,,,,.284,.304,.486,50.0,60.4,,7.3,.459,17.1,,.185
182,North Carolina-Wilmington,28,18,10,.643,-2.06,-4.38,9,5,,,,,2114,2049,,,,.401,.256,.551,53.8,59.7,,9.3,.518,18.5,,.276
183,North Carolina NCAA,35,28,7,.800,22.59,9.36,11,5,,,,,2996,2533,,,,.461,.200,.562,55.4,59.5,,14.3,.532,16.6,,.306
184,North Texas,29,14,15,.483,-6.53,-6.22,9,9,,,,,2101,2090,,,,.370,.342,.551,49.6,58.7,,3.6,.525,18.8,,.246
185,Northeastern Illinois,28,17,11,.607,-8.27,-8.91,4,1,,,,,2359,2227,,,,.390,.272,.522,53.8,52.1,,8.1,.491,17.3,,.257
186,Northeastern,27,5,22,.185,-12.07,-3.64,2,12,,,,,1926,2095,,,,.307,.227,.473,50.6,48.8,,6.1,.439,17.7,,.207
187,Northern Arizona,26,13,13,.500,-3.70,-2.01,6,8,,,,,2082,2090,,,,.484,.307,.530,50.0,52.4,,5.4,.488,19.1,,.328
188,Northern Illinois,27,10,17,.370,-4.33,-4.52,7,11,,,,,1966,1951,,,,.343,.248,.524,50.1,44.8,,6.9,.498,18.7,,.222
189,Northern Iowa,29,16,13,.552,3.02,-0.06,10,8,,,,,2174,2086,,,,.388,.237,.548,50.9,44.9,,9.0,.515,18.4,,.267
190,Northwestern State,26,11,15,.423,-10.20,-6.51,6,12,,,,,2223,2201,,,,.395,.271,.539,52.1,59.0,,6.6,.499,16.7,,.283
191,Northwestern,29,15,14,.517,10.80,8.90,5,13,,,,,2174,2072,,,,.369,.300,.561,48.1,66.9,,7.2,.524,17.5,,.270
192,Notre Dame,29,12,17,.414,4.87,7.26,,,,,,,2078,2129,,,,.380,.286,.533,50.5,61.7,,6.6,.502,21.8,,.253
193,Ohio State,29,13,16,.448,11.30,11.59,6,12,,,,,2223,2201,,,,.316,.215,.540,49.8,56.1,,8.5,.509,17.6,,.223
194,Ohio NCAA,33,25,8,.758,11.52,0.23,14,4,,,,,2668,2282,,,,.468,.272,.561,53.9,52.9,,11.7,.529,17.1,,.315
195,Oklahoma State NCAA,34,24,10,.706,17.65,8.37,10,4,,,,,2738,2339,,,,.404,.310,.574,52.2,69.9,,7.9,.549,17.3,,.271
196,Oklahoma,28,15,13,.536,9.59,8.99,6,8,,,,,2447,2430,,,,.377,.244,.525,48.4,55.8,,8.1,.487,14.9,,.264
197,Old Dominion,31,21,10,.677,6.37,-2.60,10,4,,,,,2595,2308,,,,.338,.306,.549,52.0,58.3,,9.6,.517,15.4,,.238
198,Oral Roberts,27,6,21,.222,-11.98,-1.75,,,,,,,1936,2221,,,,.308,.283,.501,48.0,60.3,,4.6,.467,19.5,,.215
199,Oregon State,27,6,21,.222,-2.13,8.10,2,16,,,,,1862,2142,,,,.379,.281,.492,43.6,54.3,,4.4,.463,19.0,,.236
200,Oregon,27,10,17,.370,3.53,7.93,6,12,,,,,2055,2113,,,,.444,.266,.507,49.5,50.0,,4.2,.468,17.3,,.293
201,Pacific,31,17,14,.548,1.91,-0.47,10,8,,,,,2459,2325,,,,.400,.302,.547,48.3,53.0,,3.3,.517,15.2,,.267
202,Penn State,27,13,14,.481,7.08,8.00,6,12,,,,,1913,1920,,,,.505,.278,.531,51.9,59.2,,9.0,.487,19.5,,.344
203,Pennsylvania NCAA,28,25,3,.893,5.95,-5.12,14,0,,,,,2139,1799,,,,.352,.346,.540,50.5,54.3,,7.6,.505,14.8,,.250
204,Pepperdine NCAA,30,19,11,.633,9.23,2.62,8,6,,,,,2175,1935,,,,.358,.247,.543,52.7,58.9,,8.8,.521,17.6,,.230
205,Pittsburgh,27,13,14,.481,12.88,9.95,7,11,,,,,2107,2028,,,,.413,.285,.518,50.1,61.3,,11.0,.487,17.1,,.265
206,Portland,30,13,17,.433,-0.84,3.42,6,8,,,,,2384,2448,,,,.379,.210,.514,50.0,50.8,,4.5,.470,18.6,,.274
207,Prairie View,27,5,22,.185,-33.66,-8.16,2,12,,,,,2066,2602,,,,.307,.188,.467,46.6,45.2,,6.2,.438,20.3,,.194
208,Princeton,26,18,8,.692,3.22,-6.28,11,3,,,,,1664,1361,,,,.364,.426,.596,49.9,56.1,,7.9,.565,19.5,,.266
209,Providence NCAA,30,20,10,.667,19.28,9.95,10,8,,,,,2379,2099,,,,.425,.218,.540,53.7,61.8,,7.8,.500,15.9,,.299
210,Purdue NCAA,34,29,5,.853,21.28,9.90,14,4,,,,,2871,2484,,,,.330,.289,.554,52.6,55.8,,6.6,.525,15.4,,.232
211,Radford,28,20,8,.714,-2.96,-9.04,13,5,,,,,2176,1910,,,,.407,.215,.577,48.1,50.1,,10.5,.541,20.3,,.295
212,Rhode Island,27,11,16,.407,3.80,5.55,7,9,,,,,1928,1975,,,,.363,.275,.508,49.9,50.4,,7.4,.471,16.5,,.250
213,Rice,29,15,14,.517,2.34,1.20,6,8,,,,,2174,2135,,,,.346,.185,.526,51.9,55.3,,3.9,.494,17.3,,.237
214,Richmond,28,14,14,.500,1.61,-0.75,8,6,,,,,2127,2061,,,,.361,.226,.537,50.4,51.6,,4.1,.500,15.7,,.257
215,Rider NCAA,30,21,9,.700,-0.83,-6.23,14,4,,,,,2280,2118,,,,.422,.203,.558,50.5,55.7,,9.2,.532,18.6,,.274
216,Robert Morris,28,14,14,.500,-5.91,-4.52,11,7,,,,,1970,2009,,,,.365,.209,.544,51.9,54.5,,6.1,.509,20.7,,.258
217,Rutgers,27,11,16,.407,1.12,5.78,6,10,,,,,1831,1957,,,,.371,.240,.479,47.6,48.6,,11.0,.439,16.7,,.249
218,Sacramento State,27,1,26,.037,-21.89,-0.07,,,,,,,1660,2249,,,,.262,.253,.431,45.3,49.8,,8.5,.405,21.3,,.159
219,Saint Francis (PA),28,13,15,.464,-5.72,-6.72,9,9,,,,,2113,2085,,,,.418,.278,.542,47.7,60.4,,6.2,.509,20.0,,.280
220,Saint Joseph's,28,14,14,.500,5.11,4.36,5,11,,,,,2037,2016,,,,.420,.267,.519,53.5,57.3,,5.4,.487,16.9,,.271
221,Saint Louis NCAA,29,23,6,.793,12.78,3.13,8,4,,,,,2337,2035,,,,.361,.371,.565,48.8,62.5,,2.9,.534,15.2,,.256
222,Saint Mary's (CA),27,13,14,.481,1.06,1.78,5,9,,,,,2114,2061,,,,.403,.338,.552,50.7,58.5,,5.9,.522,20.0,,.272
223,Saint Peter's,27,14,13,.519,-5.03,-4.47,8,6,,,,,1862,1877,,,,.399,.221,.508,50.2,53.9,,8.9,.470,19.9,,.269
224,Sam Houston State,27,7,20,.259,-15.05,-6.01,7,11,,,,,1795,2025,,,,.317,.302,.500,47.4,73.6,,6.1,.474,18.9,,.203
225,Samford,28,10,18,.357,-9.03,-6.37,4,12,,,,,1842,1840,,,,.481,.414,.564,48.6,59.2,,4.4,.523,18.3,,.339
226,San Diego State,28,12,16,.429,-3.79,2.06,6,12,,,,,2064,2164,,,,.465,.266,.506,50.2,47.6,,9.0,.464,16.9,,.308
227,San Diego,29,18,11,.621,4.13,1.83,7,7,,,,,2232,2132,,,,.479,.398,.585,50.5,58.1,,5.7,.542,19.5,,.350
228,San Francisco,28,17,11,.607,6.09,1.28,8,6,,,,,2488,2318,,,,.404,.281,.552,50.3,53.4,,8.4,.519,17.2,,.278
229,San Jose State,27,15,12,.556,1.65,0.80,11,7,,,,,1949,1927,,,,.412,.212,.520,50.2,42.7,,6.2,.480,16.8,,.285
230,Santa Clara,27,13,14,.481,5.47,3.31,6,8,,,,,1977,1846,,,,.346,.329,.516,50.5,61.9,,4.9,.483,15.0,,.236
231,Seton Hall NCAA,30,17,13,.567,13.67,10.77,8,10,,,,,2059,1972,,,,.460,.348,.504,51.5,52.7,,12.2,.457,17.6,,.313
232,Siena,33,25,8,.758,6.74,-1.96,10,4,,,,,2650,2366,,,,.442,.286,.544,50.9,50.5,,7.1,.504,15.6,,.308
233,South Alabama,27,13,14,.481,-1.87,-1.32,9,9,,,,,1990,2005,,,,.391,.237,.495,54.1,52.8,,12.7,.461,18.0,,.252
234,South Carolina State,29,16,13,.552,-10.71,-9.83,10,6,,,,,2128,2116,,,,.391,.229,.506,50.2,38.4,,4.5,.475,17.9,,.250
235,South Carolina,28,9,19,.321,4.14,8.39,4,12,,,,,2067,2187,,,,.370,.289,.519,48.9,53.6,,7.6,.484,17.2,,.253
236,South Florida,27,10,17,.370,0.34,5.49,2,10,,,,,1752,1891,,,,.407,.196,.487,49.6,53.5,,6.4,.446,16.3,,.271
237,Southeast Missouri State,27,10,17,.370,-10.31,-6.58,5,11,,,,,2207,2291,,,,.408,.272,.533,51.8,45.8,,4.7,.499,19.0,,.274
238,Southeastern Louisiana,27,10,17,.370,-14.69,-5.65,7,9,,,,,1999,2141,,,,.359,.288,.512,48.4,60.9,,3.0,.470,18.0,,.258
239,Southern California,28,16,12,.571,4.45,4.52,9,9,,,,,2031,2033,,,,.444,.252,.508,50.6,53.6,,9.8,.477,17.6,,.276
240,Southern Illinois NCAA,30,23,7,.767,7.09,0.37,14,4,,,,,2371,2126,,,,.405,.232,.559,53.2,56.0,,7.6,.530,17.4,,.274
241,Southern Methodist,27,6,21,.222,-3.52,5.11,3,11,,,,,1889,2126,,,,.330,.281,.484,47.3,52.8,,6.6,.458,18.3,,.203
242,Southern Mississippi,30,15,15,.500,8.67,5.61,5,7,,,,,2306,2214,,,,.327,.275,.503,51.4,50.7,,6.1,.477,15.8,,.209
243,Southern Utah,27,16,11,.593,-3.47,-5.34,,,,,,,2060,1903,,,,.382,.284,.549,49.1,54.0,,7.4,.520,17.6,,.256
244,Southern,27,16,11,.593,-7.29,-11.94,8,6,,,,,2727,2369,,,,.379,.247,.557,51.0,44.4,,8.1,.538,16.0,,.239
245,St. Bonaventure,27,10,17,.370,-0.88,4.71,4,12,,,,,1898,2049,,,,.427,.314,.484,50.1,57.9,,4.5,.440,16.6,,.285
246,St. Francis (NY),27,1,26,.037,-22.65,-7.57,1,17,,,,,1889,2290,,,,.274,.275,.463,46.7,47.5,,6.4,.436,18.2,,.173
247,St. John's (NY),29,12,17,.414,9.46,8.53,5,13,,,,,2126,2099,,,,.384,.171,.503,51.1,56.2,,5.0,.463,16.6,,.264
248,Stanford,28,17,11,.607,10.72,7.64,10,8,,,,,2091,2003,,,,.516,.196,.504,50.6,51.5,,5.1,.460,15.2,,.335
249,Stephen F. Austin,27,9,18,.333,-11.01,-5.01,6,12,,,,,1863,2020,,,,.393,.309,.521,47.7,46.8,,5.7,.484,18.2,,.268
250,Stetson,29,14,15,.483,-9.79,-6.25,9,7,,,,,1983,2059,,,,.387,.312,.514,50.4,57.8,,5.7,.485,17.4,,.248
251,Syracuse NCAA,30,23,7,.767,17.93,8.86,13,5,,,,,2517,2248,,,,.333,.234,.545,51.7,52.8,,12.0,.513,16.4,,.238
252,Temple NCAA,31,23,8,.742,17.37,8.34,12,4,,,,,1977,1697,,,,.347,.270,.492,51.6,43.6,,10.9,.462,11.7,,.222
253,Tennessee-Martin,27,5,22,.185,-16.27,-3.39,3,13,,,,,1968,2291,,,,.321,.337,.521,46.4,49.1,,3.0,.484,21.8,,.233
254,Tennessee State NCAA,31,19,12,.613,0.02,-2.78,12,4,,,,,2488,2300,,,,.343,.309,.542,54.0,50.7,,10.4,.519,17.8,,.224
255,Tennessee Tech,31,10,21,.323,-11.04,-1.65,5,11,,,,,2532,2769,,,,.323,.313,.489,49.8,50.1,,7.4,.461,16.0,,.208
256,Tennessee,27,5,22,.185,1.17,7.62,2,14,,,,,1908,2082,,,,.284,.288,.501,48.6,59.1,,8.0,.469,19.0,,.200
257,Texas A&M,30,19,11,.633,3.84,1.14,10,4,,,,,2261,2200,,,,.426,.229,.525,50.7,67.5,,4.9,.485,17.4,,.293
258,Texas-Arlington,29,7,22,.241,-17.60,-4.00,4,14,,,,,2213,2576,,,,.298,.263,.508,45.9,52.3,,3.1,.478,18.2,,.203
259,Texas Christian,27,7,20,.259,-5.86,1.03,3,11,,,,,1987,2175,,,,.426,.264,.522,47.3,59.1,,7.7,.489,18.1,,.277
260,Texas-El Paso,30,18,12,.600,2.08,2.77,8,10,,,,,2164,2125,,,,.402,.304,.528,49.5,47.7,,12.3,.486,15.1,,.284
261,Texas-Rio Grande Valley,28,16,12,.571,-2.03,-2.61,9,9,,,,,2109,2023,,,,.349,.254,.525,51.4,55.4,,2.8,.498,17.7,,.229
262,Texas-San Antonio,27,12,15,.444,-8.80,-6.56,8,10,,,,,2102,2136,,,,.285,.274,.524,50.5,64.1,,4.7,.489,18.9,,.210
263,Texas Southern NCAA,30,19,11,.633,-5.86,-7.40,12,2,,,,,2496,2342,,,,.410,.317,.515,51.5,47.2,,5.1,.479,13.5,,.274
264,Texas State NCAA,32,25,7,.781,-0.16,-7.40,14,4,,,,,2329,2070,,,,.467,.194,.538,53.6,52.3,,7.5,.518,17.0,,.279
265,Texas Tech,28,17,11,.607,3.98,0.45,10,4,,,,,2336,2237,,,,.436,.261,.547,54.1,53.6,,7.2,.516,17.7,,.288
266,Texas NCAA,34,26,8,.765,14.59,3.00,12,2,,,,,3119,2707,,,,.385,.290,.541,49.9,49.9,,8.0,.515,22.7,,.250
267,Toledo,27,15,12,.556,0.58,-2.34,10,8,,,,,1984,1922,,,,.485,.234,.561,49.7,60.5,,4.2,.531,19.0,,.318
268,Towson,30,21,9,.700,-7.61,-6.25,15,3,,,,,2205,2244,,,,.369,.130,.524,49.6,51.1,,10.4,.485,18.0,,.261
269,Troy,27,13,14,.481,-15.76,-10.32,5,0,,,,,2634,2710,,,,.265,.360,.517,46.8,49.7,,5.4,.487,15.5,,.191
270,Tulane,29,18,11,.621,10.64,2.23,7,5,,,,,2289,2034,,,,.414,.213,.515,53.0,48.8,,7.9,.485,17.5,,.263
271,Tulsa NCAA,31,23,8,.742,10.90,2.47,15,3,,,,,2586,2268,,,,.365,.319,.560,53.6,62.2,,5.4,.531,16.2,,.252
272,UCLA NCAA,28,21,7,.750,16.24,6.70,13,5,,,,,2410,2143,,,,.372,.171,.545,54.8,54.7,,9.8,.511,17.2,,.261
273,Utah State,27,14,13,.519,-1.84,0.48,11,7,,,,,1862,1869,,,,.514,.153,.528,56.3,54.3,,6.4,.477,19.2,,.361
274,Utah,28,14,14,.500,3.60,2.44,8,10,,,,,2100,1992,,,,.322,.366,.563,52.8,64.4,,9.5,.528,18.2,,.240
275,Valparaiso,28,20,8,.714,0.01,-5.14,14,4,,,,,2128,1947,,,,.392,.322,.543,52.4,53.5,,5.4,.500,16.7,,.287
276,Vanderbilt,32,20,12,.625,13.43,8.18,9,7,,,,,2521,2353,,,,.396,.318,.566,49.3,63.5,,7.7,.524,17.0,,.297
277,Vermont,27,12,15,.444,-11.77,-6.17,3,11,,,,,2135,2240,,,,.344,.408,.512,44.7,47.3,,5.8,.469,16.2,,.253
278,Villanova,32,20,12,.625,12.86,11.26,10,8,,,,,2383,2324,,,,.362,.350,.531,47.9,61.9,,13.3,.500,17.2,,.245
279,Virginia Commonwealth,27,14,13,.519,7.07,5.85,5,7,,,,,2103,2070,,,,.370,.323,.540,52.4,59.2,,8.7,.514,19.6,,.243
280,VMI,28,5,23,.179,-14.73,-2.96,2,16,,,,,1891,2131,,,,.317,.332,.471,48.0,50.3,,5.4,.442,17.5,,.201
281,Virginia Tech,28,18,10,.643,9.83,3.47,6,6,,,,,2028,1850,,,,.363,.251,.516,49.8,56.9,,11.5,.481,17.4,,.249
282,Virginia NCAA,31,18,13,.581,9.58,11.19,8,8,,,,,1988,2038,,,,.382,.238,.466,50.1,54.2,,11.6,.424,17.6,,.252
283,Wagner,28,16,12,.571,-3.36,-5.54,11,7,,,,,2112,2051,,,,.405,.349,.539,49.2,56.5,,6.2,.501,18.3,,.283
284,Wake Forest NCAA,33,21,12,.636,13.87,7.84,9,7,,,,,2353,2162,,,,.382,.281,.544,50.9,50.8,,12.2,.501,15.7,,.282
285,Washington State NCAA,31,20,11,.645,13.43,7.63,10,8,,,,,2355,2138,,,,.352,.334,.563,51.7,50.6,,7.4,.534,18.8,,.247
286,Washington,27,5,22,.185,0.57,8.79,3,15,,,,,1671,1893,,,,.450,.274,.484,48.9,59.1,,3.8,.447,22.5,,.281
287,Weber State,30,20,10,.667,4.74,2.09,10,4,,,,,2537,2367,,,,.392,.293,.521,52.8,50.2,,8.8,.490,16.2,,.256
288,West Virginia,29,17,12,.586,9.21,5.18,8,8,,,,,2260,2143,,,,.378,.224,.505,50.8,55.1,,11.7,.471,16.1,,.250
289,Western Carolina,28,12,16,.429,-4.50,-1.19,8,10,,,,,2048,2105,,,,.403,.234,.510,49.8,46.6,,9.8,.476,19.8,,.263
290,Western Illinois,27,7,20,.259,-12.86,-2.52,5,13,,,,,1838,2095,,,,.363,.297,.497,47.6,55.9,,3.3,.469,20.2,,.228
291,Western Kentucky NCAA,31,20,11,.645,8.12,1.72,14,4,,,,,2403,2171,,,,.380,.285,.540,53.9,50.4,,11.2,.515,19.4,,.243
292,Western Michigan,28,14,14,.500,-1.64,0.08,7,11,,,,,1957,2002,,,,.432,.202,.519,50.4,51.2,,8.9,.484,4.1,,.281
293,Wichita State,27,9,18,.333,-8.14,0.71,6,12,,,,,1746,1945,,,,.296,.294,.503,48.5,64.9,,7.0,.471,20.6,,.206
294,William & Mary,27,4,23,.148,-12.67,-2.56,2,12,,,,,1964,2246,,,,.358,.332,.521,47.3,49.9,,9.9,.491,20.0,,.238
295,Winthrop,27,4,23,.148,-21.59,-5.11,3,15,,,,,1947,2345,,,,.271,.320,.488,46.0,57.2,,5.1,.457,18.2,,.188
296,Wisconsin NCAA,29,18,11,.621,15.00,9.86,8,10,,,,,2259,2099,,,,.341,.347,.554,50.8,57.8,,10.5,.529,18.0,,.229
297,Wright State,30,12,18,.400,-9.58,-4.08,9,9,,,,,2159,2307,,,,.449,.278,.544,50.0,49.9,,6.0,.509,20.6,,.301
298,Wyoming,28,14,14,.500,2.57,2.53,7,11,,,,,1963,1921,,,,.439,.223,.531,51.7,49.6,,14.1,.492,18.8,,.299
299,Xavier,30,22,8,.733,9.35,0.87,8,2,,,,,2390,2096,,,,.390,.233,.526,50.0,60.5,,10.7,.497,15.3,,.252
300,Yale,26,10,16,.385,-13.52,-8.04,7,7,,,,,1693,1799,,,,.412,.266,.525,49.6,52.3,,5.0,.488,19.6,,.280
301,Youngstown State,26,5,21,.192,-12.83,-3.41,3,15,,,,,1755,2000,,,,.294,.228,.485,51.6,48.3,,6.8,.462,18.4,,.180
