,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
68,Detroit Mercy NCAA,31,25,6,.806,8.12,-0.14,12,2,,,,,1966,1713,,,104.6,.357,.349,.542,51.1,57.9,10.1,8.1,.500,17.6,34.2,.268
69,Drake,27,10,17,.370,-1.89,5.22,5,13,,,,,1758,1915,,,93.3,.383,.415,.507,49.3,63.1,12.0,3.3,.468,21.2,31.7,.263
70,Drexel,29,20,9,.690,-1.59,-6.73,15,3,,,,,2036,1887,,,103.2,.363,.305,.521,51.3,57.8,8.1,5.2,.492,16.6,33.0,.239
71,Duke NCAA,39,37,2,.949,34.80,10.14,16,0,,,,,3581,2619,,,121.3,.469,.305,.605,55.8,50.9,11.8,13.2,.574,16.2,44.3,.330
72,Duquesne,28,5,23,.179,-7.59,4.04,1,15,,,,,1733,2018,,,88.4,.430,.303,.455,50.0,45.9,9.6,10.4,.410,19.0,35.6,.276
73,East Carolina,27,13,14,.481,-3.53,-2.65,7,9,,,,,1707,1720,,,97.5,.368,.315,.513,50.4,60.0,7.9,9.9,.482,19.5,34.3,.241
74,East Tennessee State,28,17,11,.607,-6.63,-6.39,9,7,,,,,2027,1937,,,104.2,.436,.242,.542,54.0,58.3,10.2,4.0,.512,19.3,39.7,.285
75,Eastern Illinois,29,13,16,.448,-6.87,-3.80,8,10,,,,,2073,2133,,,102.3,.303,.334,.523,49.1,59.5,11.0,6.4,.495,17.4,35.3,.208
76,Eastern Kentucky,26,3,23,.115,-19.21,-3.05,2,16,,,,,1702,2104,,,89.3,.305,.306,.478,46.3,50.2,8.8,5.7,.449,20.0,31.1,.198
77,Eastern Michigan,25,5,20,.200,-5.72,4.24,5,13,,,,,1490,1739,,,86.3,.339,.281,.462,50.9,49.4,11.8,11.4,.434,22.9,37.7,.205
78,Eastern Washington,27,10,17,.370,-5.28,-0.60,7,9,,,,,1991,2071,,,98.9,.301,.386,.518,47.7,56.2,11.2,7.4,.496,17.5,30.0,.191
79,Evansville NCAA,33,23,10,.697,5.89,3.73,13,5,,,,,2502,2369,,,108.2,.384,.324,.609,49.9,64.6,9.0,4.7,.571,20.2,28.2,.296
80,Fairfield,27,12,15,.444,-4.67,-1.74,7,11,,,,,2111,2190,,,96.8,.481,.331,.501,49.4,50.8,12.9,7.5,.473,20.0,38.3,.286
81,Fairleigh Dickinson,28,12,16,.429,-8.47,-6.69,9,11,,,,,1843,1870,,,95.6,.463,.353,.519,55.3,56.4,10.9,11.7,.487,23.8,42.6,.293
82,Florida A&M NCAA,31,12,19,.387,-14.63,-9.79,8,11,,,,,2252,2402,,,93.1,.456,.267,.466,51.6,41.1,12.6,7.2,.425,19.3,40.5,.285
83,Florida Atlantic,26,6,20,.231,-15.96,-4.92,3,13,,,,,1875,2143,,,95.9,.405,.385,.511,44.3,52.6,13.9,4.2,.471,19.0,31.1,.277
84,Florida International,29,13,16,.448,0.85,0.92,7,7,,,,,2011,2013,,,100.9,.365,.374,.550,49.4,58.3,10.9,5.7,.523,20.6,33.0,.246
85,Florida State,30,13,17,.433,8.71,11.45,5,11,,,,,2118,2200,,,99.3,.361,.305,.525,47.4,58.4,12.4,7.8,.496,19.0,34.2,.238
86,Florida NCAA,31,22,9,.710,15.69,5.63,10,6,,,,,2488,2176,,,107.1,.433,.433,.587,50.7,59.5,13.4,9.6,.555,20.8,34.5,.304
87,Fordham,27,12,15,.444,-1.59,1.93,5,11,,,,,1784,1879,,,97.6,.404,.327,.506,49.4,55.3,11.9,5.3,.462,19.0,36.7,.281
88,Fresno State,33,21,12,.636,7.72,3.66,9,5,,,,,2635,2505,,,104.8,.305,.352,.541,46.9,61.2,12.9,11.2,.519,16.7,33.3,.199
89,Furman,28,12,16,.429,-9.67,-6.49,5,11,,,,,1878,1942,,,95.2,.497,.309,.522,51.6,57.7,9.1,5.8,.479,22.2,34.3,.332
90,George Mason NCAA,30,19,11,.633,4.52,-0.93,13,3,,,,,2214,2031,,,103.6,.330,.300,.528,49.4,48.2,14.2,11.6,.509,17.5,36.8,.202
91,George Washington NCAA,29,20,9,.690,10.99,5.47,13,3,,,,,2305,2145,,,104.6,.372,.300,.505,50.2,55.2,13.9,7.4,.459,15.5,39.8,.269
92,Georgetown,31,15,16,.484,8.21,6.41,6,12,,,,,2137,2057,,,93.8,.370,.255,.465,53.3,49.8,15.0,14.7,.427,19.6,42.9,.239
93,Georgia Southern,28,11,17,.393,-11.53,-6.66,6,10,,,,,1793,1862,,,94.8,.344,.382,.507,52.7,54.7,8.4,7.4,.472,22.3,39.5,.235
94,Georgia State,30,17,13,.567,-4.40,-7.57,11,5,,,,,2199,2097,,,104.3,.398,.287,.541,53.1,49.0,11.5,10.3,.502,19.6,41.3,.282
95,Georgia Tech,31,15,16,.484,4.52,9.39,6,10,,,,,2087,2238,,,92.7,.374,.374,.500,48.4,58.1,8.4,11.7,.473,20.4,32.7,.233
96,Georgia,30,15,15,.500,8.19,7.19,6,10,,,,,2148,2118,,,104.5,.329,.376,.534,49.3,54.2,9.2,6.2,.504,16.9,35.2,.226
97,Gonzaga NCAA,35,28,7,.800,15.03,2.21,12,2,,,,,2743,2280,,,112.2,.380,.364,.580,52.5,60.2,11.8,9.2,.547,17.5,36.5,.275
98,Grambling,27,6,21,.222,-20.33,-9.97,5,11,,,,,1860,2119,,,91.7,.412,.217,.499,47.5,48.5,11.0,7.4,.456,22.0,36.0,.280
99,Green Bay,31,20,11,.645,3.97,-1.06,9,5,,,,,1922,1736,,,104.8,.360,.362,.571,47.4,66.2,10.1,6.1,.543,18.7,28.1,.251
100,Hampton,27,8,19,.296,-14.37,-9.63,8,10,,,,,1872,2002,,,96.0,.406,.275,.520,52.1,55.2,8.1,13.1,.479,21.5,37.4,.285
101,Hartford,27,11,16,.407,-13.16,-5.75,9,9,,,,,1853,2053,,,92.3,.454,.261,.521,47.5,50.1,11.8,5.0,.472,22.4,30.2,.321
102,Harvard,26,13,13,.500,-7.94,-8.14,7,7,,,,,1828,1808,,,102.6,.291,.318,.528,47.1,54.4,10.9,8.5,.494,16.6,31.2,.214
103,Hawaii,26,6,20,.231,-3.23,4.23,3,11,,,,,1659,1853,,,93.9,.316,.205,.521,47.1,58.0,9.7,10.7,.494,22.8,35.9,.209
104,Hofstra,32,22,10,.688,1.15,-4.02,14,4,,,,,2132,1933,,,101.2,.365,.301,.528,53.2,55.0,10.5,10.9,.494,18.7,34.5,.251
105,Holy Cross,27,7,20,.259,-17.37,-7.22,3,9,,,,,1543,1804,,66.3,86.2,.361,.307,.483,47.8,57.0,11.2,7.6,.449,22.2,29.6,.235
106,Houston,27,10,17,.370,-2.56,5.36,5,11,,,,,1914,2128,,,94.6,.385,.270,.495,48.4,43.2,8.6,8.1,.458,20.1,36.7,.254
107,Howard,27,2,25,.074,-25.67,-9.15,2,16,,,,,1643,2089,,,83.5,.403,.299,.469,44.6,56.6,9.7,2.0,.426,24.1,32.4,.265
108,Idaho State,26,6,20,.231,-11.35,-0.99,4,12,,,,,1669,1903,,,92.7,.359,.225,.489,49.7,56.6,8.2,6.0,.462,19.5,33.8,.220
109,Idaho,27,16,11,.593,0.13,-1.87,11,5,,,,,1979,1895,,,102.6,.394,.339,.526,50.0,53.3,12.2,5.2,.487,18.1,36.4,.274
