,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced
177,North Carolina-Asheville,27,4,23,.148,-24.77,-9.21,2,14,,,,,1858,222,,,,.255,.394,.493,45.0,56.1,,4.6,.465,16.5,,.174
178,North Carolina A&T,27,14,13,.519,-13.54,-10.89,9,7,,,,,1891,1948,,,,.386,.227,.503,49.6,46.1,,8.1,.470,19.6,,.251
179,North Carolina-Greensboro,27,10,17,.370,-15.09,-10.01,0,0,,,,,1859,1996,,,,.395,.304,.532,50.7,49.8,,6.5,.497,21.1,,.268
180,North Carolina State,27,8,19,.296,1.73,10.62,2,14,,,,,1835,2072,,,,.268,.325,.506,50.3,55.8,,6.5,.486,17.7,,.168
181,North Carolina-Wilmington,28,17,11,.607,0.75,-1.60,6,8,,,,,2301,2192,,,,.449,.246,.570,47.4,62.3,,10.3,.539,17.4,,.305
182,North Carolina NCAA,38,34,4,.895,29.04,11.25,14,2,,,,,3272,2596,,,,.392,.188,.573,56.1,57.3,,8.8,.541,16.9,,.277
183,North Texas,26,5,21,.192,-11.56,-3.40,5,13,,,,,2049,2261,,,,.321,.329,.487,48.2,53.1,,-13.7,.454,16.6,,.214
184,Northeastern Illinois,27,11,16,.407,-9.91,-2.73,,,,,,,2109,2178,,,,.416,.219,.499,52.3,38.4,,6.9,.461,19.2,,.273
185,Northeastern,28,20,8,.714,-0.51,-6.62,12,2,,,,,2128,1953,,,,.331,.195,.508,54.1,44.3,,7.6,.477,15.7,,.223
186,Northern Arizona,26,10,16,.385,-10.47,-5.73,4,10,,,,,1807,1912,,,,.499,.274,.485,49.4,56.0,,7.1,.448,19.4,,.305
187,Northern Illinois,27,15,12,.556,-9.40,-5.56,10,6,,,,,1883,1911,,,,.350,.211,.487,52.0,47.2,,6.8,.447,17.0,,.243
188,Northern Iowa,27,12,15,.444,-3.12,2.00,8,10,,,,,1655,1778,,,,.387,.132,.508,50.3,42.1,,6.0,.471,20.9,,.261
189,Northwestern State,26,13,13,.500,-7.19,-5.65,7,11,,,,,2357,2250,,,,.426,.339,.548,49.1,68.8,,10.9,.520,18.2,,.279
190,Northwestern,27,8,19,.296,2.34,9.19,3,15,,,,,1911,2038,,,,.358,.180,.511,48.9,55.6,,6.2,.469,19.0,,.258
191,Notre Dame,27,9,18,.333,2.06,8.91,,,,,,,1713,1898,,,,.398,.281,.500,49.0,58.5,,6.0,.460,21.9,,.269
192,Ohio State,28,15,13,.536,11.89,10.93,8,10,,,,,1991,1965,,,,.374,.233,.531,49.0,55.2,,7.9,.497,18.0,,.258
193,Ohio,27,14,13,.519,-3.93,-3.23,11,7,,,,,1905,1905,,,,.463,.252,.548,52.8,59.0,,5.2,.501,19.4,,.333
194,Oklahoma State NCAA,29,20,9,.690,14.62,9.90,8,6,,,,,2246,2003,,,,.474,.215,.584,55.7,64.3,,6.7,.555,20.8,,.319
195,Oklahoma,32,20,12,.625,17.87,10.18,7,7,,,,,2850,2528,,,,.377,.249,.532,50.1,51.4,,8.1,.498,14.4,,.258
196,Old Dominion,29,21,8,.724,4.98,2.05,11,3,,,,,2445,2316,,,,.424,.252,.573,53.3,52.8,,9.9,.530,16.4,,.318
197,Oregon State,27,13,14,.481,8.47,9.07,9,9,,,,,1868,1818,,,,.397,.298,.532,48.5,64.8,,9.7,.493,19.2,,.280
198,Oregon,30,10,20,.333,1.82,8.63,3,15,,,,,2276,2366,,,,.424,.228,.529,48.2,58.1,,4.2,.490,19.6,,.290
199,Pacific,27,16,11,.593,4.77,1.69,12,6,,,,,1811,1719,,,,.399,.253,.528,48.7,57.3,,4.9,.505,17.3,,.248
200,Penn State,27,7,20,.259,0.90,9.23,2,16,,,,,1680,1915,,,,.366,.231,.494,48.1,52.2,,8.7,.456,18.3,,.247
201,Pennsylvania NCAA,27,22,5,.815,6.27,-3.14,14,0,,,,,1950,1686,,,,.306,.306,.531,50.8,55.7,,8.3,.507,14.7,,.204
202,Pepperdine,31,23,8,.742,3.82,-1.32,11,3,,,,,2237,1998,,,,.410,.223,.564,54.6,60.4,,9.2,.537,18.1,,.273
203,Pittsburgh NCAA,28,17,11,.607,9.74,9.06,9,9,,,,,2163,2144,,,,.418,.238,.526,52.8,54.2,,8.8,.492,18.1,,.276
204,Portland,27,9,18,.333,-12.54,-4.58,3,11,,,,,1868,2040,,,,.356,.268,.507,50.3,53.3,,5.9,.469,21.1,,.247
205,Prairie View,27,1,26,.037,-30.79,-3.01,0,14,,,,,2106,2762,,,,.351,.247,.476,47.1,53.2,,4.6,.447,20.5,,.215
206,Princeton,26,15,11,.577,-2.51,-4.71,7,7,,,,,1496,1421,,,,.416,.461,.602,45.8,57.5,,6.2,.579,17.9,,.283
207,Providence,33,20,13,.606,14.25,8.19,9,9,,,,,2337,2137,,,,.442,.254,.511,55.1,65.2,,9.3,.477,17.5,,.282
208,Purdue NCAA,28,18,10,.643,12.96,9.63,9,9,,,,,1986,1898,,,,.393,.190,.555,50.6,59.9,,5.3,.519,18.8,,.278
209,Radford,31,15,16,.484,-12.67,-7.96,8,8,,,,,2520,2570,,,,.344,.291,.548,47.8,51.5,,8.7,.515,18.7,,.247
210,Rhode Island NCAA,30,19,11,.633,9.50,6.40,8,6,,,,,2317,2224,,,,.453,.268,.531,51.5,50.7,,6.9,.484,16.4,,.324
211,Rice,28,18,10,.643,6.17,2.38,11,3,,,,,2170,2064,,,,.539,.242,.562,53.9,53.3,,3.8,.514,17.8,,.385
212,Richmond,27,15,12,.556,2.02,-0.24,10,4,,,,,1936,1875,,,,.397,.261,.570,48.8,58.1,,6.3,.537,18.2,,.280
213,Rider NCAA,30,19,11,.633,-5.61,-8.28,14,4,,,,,2202,2122,,,,.463,.220,.558,50.0,53.5,,7.1,.520,18.6,,.321
214,Robert Morris,27,9,18,.333,-11.90,-6.34,7,11,,,,,1800,1950,,,,.462,.195,.544,50.0,51.3,,6.2,.504,23.3,,.317
215,Rutgers,28,13,15,.464,6.90,6.38,6,8,,,,,2280,2217,,,,.406,.243,.536,50.6,47.4,,12.4,.499,17.4,,.280
216,Sacramento State,27,3,24,.111,-17.02,-1.48,,,,,,,1661,2079,,,,.269,.259,.458,42.7,55.5,,5.9,.431,19.9,,.171
217,Saint Francis (PA),27,9,18,.333,-12.89,-8.56,7,11,,,,,1807,1924,,,,.381,.295,.514,46.0,59.7,,8.0,.474,22.3,,.266
218,Saint Joseph's,29,18,11,.621,6.19,3.95,8,6,,,,,2083,2019,,,,.484,.284,.517,51.6,53.6,,6.5,.465,16.1,,.342
219,Saint Louis,29,12,17,.414,6.87,6.65,1,9,,,,,2019,1956,,,,.379,.252,.563,48.6,59.9,,5.0,.526,18.9,,.275
220,Saint Mary's (CA),27,11,16,.407,-8.40,-1.86,6,8,,,,,1661,1827,,,,.409,.308,.532,50.3,52.5,,7.0,.503,22.5,,.264
221,Saint Peter's,27,9,18,.333,-10.16,-5.16,3,11,,,,,2130,1893,,,,.318,.220,.524,51.2,60.4,,6.8,.494,18.3,,.217
222,Sam Houston State,25,6,19,.240,-14.23,-3.71,4,14,,,,,1913,2117,,,,.345,.301,.518,45.5,68.5,,5.1,.490,20.3,,.227
223,Samford,27,17,10,.630,-7.32,-9.92,7,5,,,,,1945,1812,,,,.485,.402,.601,48.3,55.3,,4.0,.560,18.2,,.360
224,San Diego State,29,8,21,.276,-7.33,4.71,3,15,,,,,1915,2175,,,,.418,.195,.495,51.4,50.9,,11.5,.453,20.7,,.281
225,San Diego,27,13,14,.481,-2.65,-1.48,7,7,,,,,1955,1932,,,,.384,.286,.544,51.0,54.5,,5.1,.519,19.4,,.248
226,San Francisco,31,19,12,.613,-1.28,-1.21,8,6,,,,,2419,2364,,,,.374,.273,.555,48.6,53.9,,5.1,.517,17.5,,.272
227,San Jose State,26,7,19,.269,-3.39,2.76,4,14,,,,,1677,1835,,,,.384,.176,.496,53.0,52.1,,5.5,.455,21.2,,.262
228,Santa Clara NCAA,31,19,12,.613,1.41,0.24,9,5,,,,,2136,2057,,,,.425,.332,.530,51.5,62.1,,4.4,.488,16.5,,.298
229,Seton Hall NCAA,35,28,7,.800,19.48,9.07,14,4,,,,,2725,2342,,,,.466,.262,.575,51.8,58.6,,10.6,.526,17.3,,.352
230,Siena,29,16,13,.552,0.73,-2.31,8,6,,,,,2078,1966,,,,.350,.297,.535,51.2,47.3,,7.6,.500,17.2,,.249
231,South Alabama,28,15,13,.536,4.84,1.91,9,9,,,,,2281,2199,,,,.429,.195,.525,53.2,53.5,,5.4,.488,17.8,,.287
232,South Carolina State,29,16,13,.552,-13.01,-12.53,9,7,,,,,2122,2115,,,,.440,.213,.538,51.8,45.6,,6.0,.500,18.6,,.300
233,South Carolina,27,9,18,.333,3.44,9.78,5,11,,,,,2080,2223,,,,.328,.215,.515,50.5,51.1,,10.6,.488,18.2,,.214
234,South Florida,27,8,19,.296,-1.67,3.66,2,10,,,,,1942,2086,,,,.332,.281,.514,48.9,58.1,,6.9,.480,17.1,,.231
235,Southeast Missouri State,27,16,11,.593,-7.07,-6.07,9,7,,,,,2179,2166,,,,.417,.249,.540,50.5,51.0,,6.0,.496,19.0,,.303
236,Southeastern Louisiana,27,12,15,.444,-12.57,-6.18,4,8,,,,,2071,2149,,,,.396,.218,.531,53.2,52.8,,5.3,.498,21.9,,.266
237,Southern California,30,18,12,.600,8.52,7.81,9,9,,,,,2144,2077,,,,.392,.417,.524,52.2,56.0,,5.2,.498,18.0,,.246
238,Southern Illinois NCAA,33,23,10,.697,9.33,2.14,12,6,,,,,2545,2276,,,,.416,.215,.539,54.7,48.9,,9.3,.501,17.2,,.288
239,Southern Methodist NCAA,28,20,8,.714,6.81,3.15,12,2,,,,,2272,2131,,,,.358,.292,.496,51.1,54.0,,8.1,.474,13.6,,.213
240,Southern Mississippi,27,10,17,.370,2.02,4.80,6,6,,,,,2140,2215,,,,.312,.323,.509,50.9,57.7,,7.0,.484,17.8,,.200
241,Southern Utah,27,14,13,.519,-4.60,-3.47,,,,,,,2055,1999,,,,.512,.151,.566,49.4,55.8,,3.1,.527,21.2,,.355
242,Southern NCAA,31,21,10,.677,2.01,-7.48,9,5,,,,,3011,2650,,,,.406,.286,.543,51.2,49.9,,7.8,.518,16.6,,.260
243,St. Bonaventure,27,10,17,.370,-0.27,3.46,0,14,,,,,1918,2022,,,,.464,.228,.506,50.8,52.8,,4.2,.458,19.4,,.319
244,St. Francis (NY),27,9,18,.333,-15.27,-7.86,8,10,,,,,1986,2186,,,,.349,.234,.511,47.9,48.6,,8.0,.480,21.0,,.231
245,St. John's (NY) NCAA,30,19,11,.633,13.16,9.49,12,6,,,,,2261,2152,,,,.466,.141,.540,52.1,57.3,,5.7,.504,17.9,,.310
246,Stanford,30,7,23,.233,0.06,6.06,2,16,,,,,1989,2115,,,,.343,.272,.500,46.8,50.6,,6.4,.463,16.9,,.237
247,Stephen F. Austin,26,12,14,.462,-8.00,-5.08,8,10,,,,,1893,1940,,,,.376,.297,.545,52.9,44.2,,3.4,.515,19.5,,.254
248,Stetson,27,13,14,.481,-9.86,-8.53,6,6,,,,,2114,2126,,,,.448,.277,.563,49.5,43.3,,3.7,.523,17.3,,.320
249,Syracuse,29,20,9,.690,13.59,8.84,10,8,,,,,2303,2139,,,,.360,.247,.542,49.3,53.2,,14.0,.512,19.1,,.247
250,Temple NCAA,33,20,13,.606,12.93,10.23,8,6,,,,,2285,2196,,,,.375,.302,.516,48.4,43.3,,8.4,.488,13.1,,.240
251,Tennessee-Martin,26,7,19,.269,-15.53,-5.78,4,12,,,,,1800,2017,,,,.438,.282,.557,48.1,64.5,,4.5,.512,24.8,,.322
252,Tennessee State NCAA,29,19,10,.655,-1.13,-4.56,13,3,,,,,2282,2206,,,,.364,.310,.539,51.6,58.4,,9.9,.517,16.9,,.232
253,Tennessee Tech,28,15,13,.536,-7.63,-5.44,9,7,,,,,2440,2448,,,,.375,.338,.556,52.8,62.6,,2.7,.517,17.4,,.276
254,Tennessee,30,13,17,.433,7.82,8.75,4,12,,,,,2361,2389,,,,.343,.271,.550,50.8,49.8,,7.6,.513,18.4,,.253
255,Texas A&M,27,10,17,.370,0.92,3.73,5,9,,,,,1856,1932,,,,.440,.204,.534,50.1,64.4,,5.3,.501,19.0,,.289
256,Texas-Arlington,28,16,12,.571,-6.79,-3.51,10,8,,,,,2354,2364,,,,.399,.286,.561,51.3,53.2,,5.4,.542,18.5,,.250
257,Texas Christian,28,6,22,.214,-9.18,0.93,2,12,,,,,1815,2098,,,,.366,.272,.494,45.4,52.8,,5.0,.471,15.3,,.218
258,Texas-El Paso,34,21,13,.618,5.08,3.20,10,8,,,,,2421,2320,,,,.366,.227,.496,49.2,51.3,,8.7,.461,12.4,,.241
259,Texas-Rio Grande Valley,22,2,20,.091,-16.91,1.86,2,16,,,,,1393,1806,,,,.315,.279,.507,42.3,52.9,,4.5,.464,23.1,,.237
260,Texas-San Antonio,29,15,14,.517,-7.11,-3.31,10,8,,,,,2341,2397,,,,.343,.248,.539,50.6,60.5,,4.6,.502,17.9,,.249
261,Texas Southern,27,12,15,.444,-7.94,-3.11,8,6,,,,,2093,2162,,,,.509,.268,.529,49.7,48.4,,4.5,.497,17.9,,.321
262,Texas State,27,14,13,.519,-4.39,-4.71,9,9,,,,,1964,1917,,,,.421,.181,.531,55.0,50.8,,5.1,.507,17.0,,.261
263,Texas Tech NCAA,30,18,12,.600,2.91,1.56,6,8,,,,,2405,2325,,,,.447,.291,.562,52.7,61.5,,5.6,.530,18.1,,.304
264,Texas,28,11,17,.393,2.93,5.41,4,10,,,,,2291,2319,,,,.327,.281,.481,48.6,37.8,,9.7,.447,12.6,,.218
265,Toledo,28,12,16,.429,-6.50,-4.61,9,9,,,,,1871,1933,,,,.509,.304,.551,46.6,55.3,,6.1,.507,18.3,,.354
266,Towson,27,18,9,.667,-7.93,-8.78,14,2,,,,,2083,2046,,,,.472,.156,.527,50.9,44.5,,8.8,.479,17.5,,.334
267,Tulane NCAA,31,22,9,.710,8.13,2.39,9,3,,,,,2352,2155,,,,.418,.203,.511,51.1,55.3,,8.2,.481,17.2,,.264
268,Tulsa,29,15,14,.517,2.40,2.28,10,8,,,,,2228,2168,,,,.332,.324,.551,50.4,58.3,,3.9,.525,18.8,,.226
269,UCLA NCAA,33,22,11,.667,11.35,9.05,11,7,,,,,2587,2511,,,,.381,.165,.559,51.8,53.6,,11.7,.532,19.0,,.256
270,Utah State,27,10,17,.370,1.19,5.27,7,11,,,,,2093,2152,,,,.449,.261,.533,49.3,59.5,,7.7,.487,19.0,,.319
271,Utah NCAA,31,24,7,.774,13.34,2.27,15,3,,,,,2391,2039,,,,.344,.263,.587,53.4,62.5,,9.2,.547,16.3,,.272
272,Valparaiso,28,12,16,.429,-6.07,-4.89,7,9,,,,,2218,2234,,,,.315,.296,.571,45.2,56.9,,4.1,.535,16.8,,.244
273,Vanderbilt NCAA,34,28,6,.824,19.82,6.40,14,2,,,,,2822,2375,,,,.409,.323,.599,50.7,58.5,,6.6,.567,17.1,,.298
274,Vermont,27,10,17,.370,-14.26,-7.46,4,10,,,,,2029,2204,,,,.352,.367,.510,47.4,49.6,,5.2,.467,17.9,,.258
275,Villanova,27,8,19,.296,8.48,7.18,3,15,,,,,1907,1870,,,,.388,.257,.539,48.9,63.3,,9.6,.505,19.0,,.266
276,Virginia Commonwealth,30,20,10,.667,9.26,1.76,7,5,,,,,2379,2154,,,,.285,.302,.544,51.5,62.3,,9.4,.529,17.1,,.177
277,VMI,27,5,22,.185,-16.80,-5.03,3,15,,,,,1780,2058,,,,.342,.280,.486,46.1,48.7,,7.0,.445,18.8,,.241
278,Virginia Tech,28,10,18,.357,-2.09,2.13,1,11,,,,,1880,1969,,,,.361,.284,.491,46.0,51.5,,9.3,.451,17.3,,.248
279,Virginia NCAA,31,21,10,.677,14.60,9.76,9,7,,,,,2299,2149,,,,.371,.218,.509,52.5,56.9,,8.2,.477,16.6,,.242
280,Wagner,30,18,12,.600,-6.68,-8.94,12,6,,,,,2095,2029,,,,.402,.269,.539,49.2,64.4,,9.1,.508,19.6,,.269
281,Wake Forest NCAA,30,21,9,.700,16.82,9.32,10,6,,,,,2330,2105,,,,.392,.265,.578,53.5,59.1,,6.9,.544,17.7,,.283
282,Washington State,27,15,12,.556,11.63,5.63,9,9,,,,,1962,1762,,,,.360,.327,.567,52.5,57.7,,7.3,.534,17.6,,.262
283,Washington,27,13,14,.481,4.94,6.26,7,11,,,,,1919,1861,,,,.337,.220,.526,52.1,49.7,,10.3,.487,18.8,,.245
284,Weber State,28,20,8,.714,0.36,-3.89,10,4,,,,,2190,2051,,,,.448,.179,.553,52.9,56.9,,5.1,.521,20.6,,.299
285,West Virginia,29,17,12,.586,11.82,6.20,7,7,,,,,2216,2053,,,,.425,.179,.520,49.3,60.1,,11.0,.483,16.5,,.285
286,Western Carolina,27,6,21,.222,-14.58,-6.04,2,16,,,,,1868,2034,,,,.294,.288,.494,48.1,63.2,,8.6,.471,19.6,,.184
287,Western Illinois,27,7,20,.259,-12.30,-5.72,4,12,,,,,1976,2148,,,,.368,.294,.530,48.1,60.5,,7.9,.503,20.2,,.240
288,Western Kentucky NCAA,32,26,6,.813,15.22,1.75,14,4,,,,,2723,2293,,,,.416,.277,.553,53.1,52.5,,9.3,.529,17.8,,.267
289,Western Michigan,29,17,12,.586,-1.60,-2.32,12,6,,,,,1955,1920,,,,.395,.242,.529,47.5,51.5,,9.0,.492,18.7,,.273
290,Wichita State,27,10,17,.370,-1.39,4.30,7,11,,,,,1743,1880,,,,.345,.276,.528,50.4,57.5,,7.2,.500,21.6,,.228
291,William & Mary,27,14,13,.519,-2.51,-1.43,6,8,,,,,2025,2006,,,,.489,.287,.537,48.5,57.5,,6.2,.496,17.6,,.331
292,Winthrop,30,14,16,.467,-13.08,-11.40,5,11,,,,,2508,2518,,,,.388,.287,.551,50.6,54.6,,5.4,.520,17.6,,.265
293,Wisconsin,28,14,14,.500,8.08,6.72,7,11,,,,,2156,2118,,,,.296,.325,.539,46.6,51.5,,7.0,.515,17.1,,.200
294,Wright State NCAA,30,20,10,.667,3.10,-5.97,10,6,,,,,2674,2352,,,,.394,.211,.589,54.5,55.5,,6.2,.556,17.9,,.286
295,Wyoming,28,13,15,.464,-0.60,1.28,7,11,,,,,1925,1947,,,,.435,.189,.515,50.4,51.4,,13.9,.477,20.9,,.289
296,Xavier NCAA,30,24,6,.800,10.89,2.75,12,2,,,,,2230,1954,,,,.354,.205,.569,53.0,57.7,,10.0,.542,17.3,,.244
297,Yale,26,10,16,.385,-8.84,-7.08,6,8,,,,,1413,1444,,,,.380,.236,.494,51.2,53.3,,8.1,.464,20.5,,.238
298,Youngstown State,26,3,23,.115,-18.28,-5.98,1,15,,,,,1864,2184,,,,.437,.180,.479,46.0,51.1,,4.6,.440,17.8,,.276
