,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
173,New Hampshire,28,19,9,.679,-2.18,-3.86,11,5,,,,,2256,2209,,,807,1706,.473,187,510,.367,455,654,.696,,1052,454,202,76,456,551
174,New Mexico State,35,25,10,.714,10.29,3.56,13,5,,,,,2997,2740,,,1078,2289,.471,225,661,.340,616,988,.623,,1407,592,368,141,587,735
175,New Mexico,30,15,15,.500,6.43,5.25,9,9,,,,,2259,2164,,,799,1684,.474,199,579,.344,462,714,.647,,1024,437,213,117,390,591
176,New Orleans,31,20,11,.645,0.81,-2.49,13,5,,,,,2219,2096,,,798,1868,.427,167,522,.320,456,709,.643,,1244,407,249,135,482,593
177,Niagara,30,5,25,.167,-13.32,-1.01,2,12,,,,,2043,2395,,,728,1693,.430,159,506,.314,428,690,.620,,1043,386,219,47,598,577
178,Nicholls State NCAA,30,24,6,.800,3.32,-5.18,17,1,,,,,2709,2340,,,998,2087,.478,164,495,.331,549,786,.698,,1167,590,376,92,452,639
179,North Carolina-Asheville,27,11,16,.407,-8.94,-4.86,7,9,,,,,1848,1902,,,657,1463,.449,147,456,.322,387,564,.686,,875,400,282,57,466,461
180,North Carolina A&T NCAA,30,15,15,.500,-14.04,-9.45,10,6,,,,,2047,2157,,,712,1679,.424,197,576,.342,426,629,.677,,994,335,246,66,464,579
181,North Carolina-Greensboro,29,23,6,.793,3.13,-8.49,14,2,,,,,2200,1869,,,763,1709,.446,224,577,.388,450,696,.647,,1180,474,243,136,411,454
182,North Carolina State,27,12,15,.444,12.87,8.50,4,12,,,,,2057,1939,,,754,1789,.421,210,613,.343,339,464,.731,,1018,453,220,80,351,466
183,North Carolina-Wilmington,27,16,11,.593,-0.55,-3.10,10,4,,,,,1837,1765,,,625,1439,.434,167,470,.355,420,647,.649,,1026,372,134,82,412,585
184,North Carolina NCAA,34,28,6,.824,23.45,13.01,12,4,,,,,2871,2516,,,1044,2055,.508,266,648,.410,517,763,.678,,1290,576,211,177,437,476
185,North Texas,27,14,13,.519,-8.43,-7.81,9,9,,,,,2010,1939,,,700,1490,.470,144,402,.358,466,673,.692,,1048,377,149,33,408,456
186,Northeastern Illinois,26,4,22,.154,-19.66,-7.90,2,16,,,,,1711,1947,,,594,1466,.405,164,456,.360,359,579,.620,,951,331,172,77,455,521
187,Northeastern,29,18,11,.621,-0.87,-2.77,10,6,,,,,2105,2050,,,759,1735,.437,154,430,.358,433,624,.694,,1152,389,256,98,487,487
188,Northern Arizona,26,8,18,.308,-5.88,3.34,4,10,,,,,1750,1874,,,595,1404,.424,141,418,.337,419,614,.682,,884,343,182,49,529,529
189,Northern Illinois,29,19,10,.655,0.12,-5.24,7,8,,,,,2181,1980,,,787,1720,.458,219,600,.365,388,606,.640,,1095,445,259,112,440,525
190,Northern Iowa,28,8,20,.286,-5.83,2.36,4,14,,,,,1902,2113,,,658,1504,.438,138,433,.319,448,688,.651,,946,301,205,107,489,618
191,Northwestern State,27,13,14,.481,-11.91,-6.95,8,10,,,,,1996,2089,,,733,1655,.443,164,466,.352,366,574,.638,,1003,445,176,47,440,600
192,Northwestern,27,5,22,.185,-12.61,6.14,1,17,,,,,1766,2267,,,608,1525,.399,119,370,.322,431,619,.696,,931,314,95,74,460,485
193,Notre Dame,27,15,12,.556,2.81,2.18,,,,,,,1897,1882,,,701,1523,.460,131,370,.354,364,539,.675,,940,436,211,91,483,601
194,Ohio State,28,6,22,.214,-1.71,6.46,2,16,,,,,1945,2174,,,712,1585,.449,160,404,.396,361,549,.658,,931,408,132,51,465,571
195,Ohio,34,24,10,.706,11.16,3.59,13,5,,,,,2649,2369,,,945,2017,.469,178,528,.337,581,876,.663,,1410,524,186,134,516,561
196,Oklahoma State NCAA,37,27,10,.730,21.72,10.27,10,4,,,,,2859,2380,,,1016,2025,.502,234,601,.389,593,872,.680,,1355,655,299,119,565,685
197,Oklahoma NCAA,32,23,9,.719,15.21,7.12,9,5,,,,,2614,2354,,,916,1944,.471,218,606,.360,564,758,.744,,1239,565,219,128,463,648
198,Old Dominion NCAA,33,21,12,.636,4.08,1.20,12,2,,,,,2548,2453,,,866,1944,.445,225,623,.361,591,824,.717,,1172,539,309,137,493,598
199,Oral Roberts,27,10,17,.370,-11.60,-3.10,,,,,,,1955,2016,,,680,1574,.432,205,538,.381,390,575,.678,,1027,456,232,86,438,547
200,Oregon State,27,9,18,.333,6.04,10.44,6,12,,,,,2040,2159,,,717,1561,.459,110,343,.321,496,702,.707,,916,380,211,66,453,518
201,Oregon NCAA,28,19,9,.679,14.69,10.69,11,7,,,,,2385,2252,,,796,1801,.442,228,615,.371,565,841,.672,,1114,448,214,62,454,610
202,Pacific,27,14,13,.519,3.27,2.31,9,9,,,,,1970,1944,,,698,1568,.445,218,603,.362,356,544,.654,,934,424,164,78,396,500
203,Penn State,32,21,11,.656,11.85,5.01,9,9,,,,,2281,2063,,,786,1761,.446,201,574,.350,508,721,.705,,1188,520,207,110,468,530
204,Pennsylvania NCAA,28,22,6,.786,8.62,-5.38,14,0,,,,,2297,1889,,,843,1775,.475,247,605,.408,364,552,.659,,1075,510,243,91,343,453
205,Pepperdine,27,8,19,.296,-4.62,1.84,4,10,,,,,1789,1949,,,653,1538,.425,130,389,.334,353,509,.694,,985,349,146,76,440,560
206,Pittsburgh,28,10,18,.357,5.55,8.62,5,13,,,,,2015,2101,,,694,1681,.413,225,641,.351,402,562,.715,,1085,408,245,117,584,582
207,Portland,29,21,8,.724,3.37,-1.37,10,4,,,,,2211,2024,,,814,1774,.459,99,285,.347,484,717,.675,,1017,450,313,36,444,595
208,Prairie View,27,6,21,.222,-31.28,-7.20,3,11,,,,,2079,2590,,,788,1874,.420,125,443,.282,378,649,.582,,1168,335,220,149,611,583
209,Princeton,26,16,10,.615,-1.66,-6.18,10,4,,,,,1647,1501,,,565,1252,.451,167,508,.329,350,510,.686,,771,336,180,79,360,465
210,Providence,30,17,13,.567,8.65,7.55,7,11,,,,,2215,2158,,,786,1847,.426,165,484,.341,478,661,.723,,1089,429,259,111,441,560
211,Purdue NCAA,32,25,7,.781,13.37,5.72,15,3,,,,,2444,2199,,,857,1800,.476,183,472,.388,547,810,.675,,1170,533,196,116,471,560
212,Radford,28,16,12,.571,-10.77,-6.73,9,7,,,,,1980,1972,,,741,1620,.457,165,423,.390,333,487,.684,,1039,416,231,73,498,536
213,Rhode Island,27,7,20,.259,1.48,6.55,2,14,,,,,1895,2032,,,672,1625,.414,144,497,.290,407,583,.698,,1036,335,209,131,465,577
214,Rice,28,15,13,.536,0.73,0.91,8,6,,,,,2050,2048,,,739,1699,.435,134,392,.342,438,636,.689,,1139,416,185,60,450,575
215,Richmond,28,8,20,.286,-7.05,-1.15,3,11,,,,,1890,2056,,,722,1652,.437,134,376,.356,312,526,.593,,1031,358,138,89,467,540
216,Rider,29,18,11,.621,-1.34,-7.84,13,5,,,,,2182,1986,,,794,1640,.484,166,432,.384,428,633,.676,,996,502,211,153,438,592
217,Robert Morris,27,4,23,.148,-19.55,-7.36,2,16,,,,,1857,2186,,,631,1492,.423,145,399,.363,450,607,.741,,978,343,137,32,468,583
218,Rutgers,28,13,15,.464,6.24,4.89,7,9,,,,,2043,2005,,,719,1616,.445,153,478,.320,452,657,.688,,1006,442,213,83,402,569
219,Sacramento State,27,6,21,.222,-16.39,-2.94,2,4,,,,,1783,2110,,,681,1582,.430,110,373,.295,311,512,.607,,952,350,203,78,511,605
220,Saint Francis (PA),28,12,16,.429,-10.75,-8.71,7,11,,,,,2006,2063,,,695,1523,.456,183,468,.391,433,604,.717,,858,389,203,64,423,532
221,Saint Joseph's,29,17,12,.586,9.69,7.17,9,7,,,,,2060,1987,,,702,1700,.413,166,478,.347,490,693,.707,,1129,390,155,54,374,576
222,Saint Louis NCAA,31,23,8,.742,17.23,4.00,8,4,,,,,2350,1940,,,784,1780,.440,284,730,.389,498,720,.692,,1094,470,248,33,353,539
223,Saint Mary's (CA),28,18,10,.643,4.42,-0.05,10,4,,,,,1996,1870,,,681,1478,.461,161,488,.330,473,700,.676,,1078,417,225,67,485,604
224,Saint Peter's NCAA,30,19,11,.633,-1.79,-2.95,10,4,,,,,2048,2013,,,758,1669,.454,100,311,.322,432,623,.693,,1055,434,201,77,464,518
225,Sam Houston State,26,7,19,.269,-15.19,-6.61,4,14,,,,,1819,1984,,,654,1515,.432,164,467,.351,347,560,.620,,937,483,237,101,417,511
226,Samford,27,16,11,.593,-7.02,-8.26,11,5,,,,,1999,1914,,,624,1387,.450,279,705,.396,472,622,.759,,945,379,93,53,369,504
227,San Diego State,28,11,17,.393,-1.54,4.06,5,13,,,,,1771,,,,623,1555,.401,112,382,.293,413,683,.605,,940,298,176,85,,
228,San Diego,27,11,16,.407,-2.25,0.06,5,9,,,,,1934,1983,,,689,1501,.459,172,502,.343,384,567,.677,,953,396,160,62,437,554
229,San Francisco,29,10,19,.345,-4.69,2.67,4,10,,,,,2222,2432,,,783,1763,.444,155,495,.313,501,715,.701,,1087,457,218,94,477,541
230,San Jose State,27,4,23,.148,-7.57,4.20,3,15,,,,,1733,2052,,,592,1488,.398,133,394,.338,416,599,.694,,906,306,150,61,456,583
231,Santa Clara NCAA,28,21,7,.750,9.91,1.98,12,2,,,,,2137,1920,,,727,1648,.441,188,482,.390,495,687,.721,,1108,374,202,74,439,584
232,Seton Hall,30,16,14,.533,8.47,4.07,7,11,,,,,2406,2274,,,883,1980,.446,193,574,.336,447,676,.661,,1142,504,277,120,441,583
233,Siena,27,8,19,.296,-8.73,-5.36,5,9,,,,,1908,1999,,,694,1538,.451,146,388,.376,374,562,.665,,960,379,153,49,430,532
234,South Alabama,27,9,18,.333,-10.73,-3.62,7,11,,,,,2285,2476,,,834,2026,.412,214,699,.306,403,594,.678,,1230,419,192,81,466,566
235,South Carolina State,28,15,13,.536,-15.09,-12.49,11,5,,,,,1930,1977,,,730,1694,.431,105,363,.289,365,541,.675,,1101,288,164,87,409,456
236,South Carolina,27,10,17,.370,2.66,8.48,5,11,,,,,1807,1955,,,663,1568,.423,170,537,.317,311,515,.604,,966,326,171,79,369,447
237,South Florida,30,18,12,.600,7.96,3.09,5,7,,,,,2173,2027,,,778,1693,.460,166,483,.344,451,682,.661,,1107,460,202,67,399,508
238,Southeast Missouri State,27,13,14,.481,-10.14,-6.10,7,9,,,,,1972,2071,,,730,1641,.445,137,392,.349,375,615,.610,,991,439,201,58,411,536
239,Southeastern Louisiana,28,12,16,.429,-10.06,-6.59,7,9,,,,,2317,2325,,,808,1844,.438,203,605,.336,498,727,.685,,1116,422,229,62,438,523
240,Southern California,28,7,21,.250,4.00,8.50,2,16,,,,,2140,2266,,,775,1795,.432,162,521,.311,428,620,.690,,1068,367,221,66,455,556
241,Southern Illinois NCAA,32,23,9,.719,8.02,3.34,13,5,,,,,2486,2286,,,898,1951,.460,257,645,.398,433,642,.674,,1236,493,251,103,468,622
242,Southern Methodist,27,7,20,.259,-7.26,4.18,3,11,,,,,1895,2204,,,671,1744,.385,205,600,.342,348,551,.632,,1018,350,174,66,399,571
243,Southern Mississippi,30,17,13,.567,8.30,5.92,6,6,,,,,2223,2140,,,843,2000,.422,169,554,.305,368,575,.640,,1225,393,273,130,440,572
244,Southern Utah,28,17,11,.607,0.50,-7.71,6,0,,,,,2228,1927,,,788,1691,.466,244,571,.427,408,576,.708,,890,444,277,107,347,515
245,Southern,26,13,13,.500,-11.80,-13.44,7,7,,,,,2425,2158,,,901,1951,.462,239,666,.359,384,604,.636,,1144,417,266,91,425,512
246,St. Bonaventure,31,18,13,.581,9.36,4.76,9,7,,,,,2258,2084,,,776,1852,.419,207,653,.317,499,732,.682,,1198,389,314,92,456,640
247,St. Francis (NY),27,9,18,.333,-18.78,-11.37,5,13,,,,,2043,2243,,,747,1652,.452,172,516,.333,377,570,.661,,902,414,220,77,498,644
248,St. John's (NY),28,14,14,.500,7.99,6.46,7,11,,,,,2218,2175,,,803,1729,.464,121,345,.351,491,701,.700,,1092,381,224,80,450,529
249,Stanford NCAA,29,20,9,.690,13.15,7.32,10,8,,,,,2290,2120,,,773,1733,.446,141,361,.391,603,827,.729,,1113,394,201,80,377,573
250,Stephen F. Austin,28,14,14,.500,-7.50,-7.00,9,9,,,,,2461,2416,,,830,1869,.444,248,720,.344,553,773,.715,,1194,448,199,72,459,521
251,Stetson,27,15,12,.556,-3.93,-6.27,11,5,,,,,2042,1978,,,728,1570,.464,145,422,.344,441,613,.719,,959,391,196,83,387,535
252,Syracuse NCAA,30,20,10,.667,15.10,7.20,12,6,,,,,2471,2202,,,928,1899,.489,160,470,.340,455,687,.662,,1157,543,307,141,497,613
253,Temple NCAA,30,19,11,.633,12.15,9.18,10,6,,,,,1881,1792,,,660,1691,.390,209,682,.306,352,587,.600,,1085,341,231,113,308,490
254,Tennessee-Martin,27,7,20,.259,-17.57,-5.03,5,11,,,,,1815,2117,,,642,1395,.460,171,445,.384,360,515,.699,,859,342,176,34,540,477
255,Tennessee State,27,17,10,.630,-6.11,-8.11,11,5,,,,,2093,2017,,,764,1773,.431,166,559,.297,399,591,.675,,1126,367,170,88,352,503
256,Tennessee Tech,27,13,14,.481,-11.58,-6.12,9,7,,,,,2076,2109,,,734,1667,.440,188,562,.335,420,607,.692,,1162,398,168,181,496,549
257,Tennessee,27,11,16,.407,5.46,8.61,4,12,,,,,1625,1711,,,596,1379,.432,114,328,.348,319,470,.679,,891,397,164,69,417,498
258,Texas A&M,30,14,16,.467,-1.71,1.67,7,7,,,,,2221,2298,,,796,1709,.466,95,324,.293,534,770,.694,,1147,482,204,67,566,686
259,Texas-Arlington,27,10,17,.370,-13.09,-6.86,7,11,,,,,1996,2157,,,714,1644,.434,145,431,.336,423,631,.670,,1020,369,183,59,442,533
260,Texas Christian,27,16,11,.593,0.97,-1.07,8,6,,,,,2529,2435,,,894,1903,.470,153,408,.375,588,802,.733,,1155,506,206,128,432,579
261,Texas-El Paso,30,20,10,.667,9.67,5.97,13,5,,,,,2336,2152,,,771,1683,.458,214,627,.341,580,824,.704,,1008,419,214,115,360,609
262,Texas-Rio Grande Valley,28,14,14,.500,-2.09,-1.55,10,8,,,,,1812,1769,,,665,1504,.442,122,344,.355,360,584,.616,,972,392,236,79,458,587
263,Texas-San Antonio,28,15,13,.536,-7.88,-6.45,11,7,,,,,2215,2223,,,807,1745,.462,191,517,.369,410,615,.667,,1165,507,211,70,499,611
264,Texas Southern NCAA,29,22,7,.759,0.69,-8.05,12,2,,,,,2410,2128,,,787,1877,.419,223,708,.315,613,892,.687,,1258,386,244,75,397,551
265,Texas State,26,12,14,.462,-13.45,-6.45,7,11,,,,,1694,1824,,,635,1396,.455,115,305,.377,309,508,.608,,910,349,190,64,446,581
266,Texas Tech,30,20,10,.667,12.01,1.97,11,3,,,,,2664,2323,,,950,1964,.484,184,524,.351,580,835,.695,,1299,585,263,105,501,593
267,Texas NCAA,30,23,7,.767,15.81,3.74,11,3,,,,,2787,2425,,,1022,2131,.480,253,684,.370,490,760,.645,,1132,439,341,78,428,648
268,Toledo,27,16,11,.593,2.80,0.32,10,8,,,,,1944,1852,,,674,1455,.463,124,354,.350,472,701,.673,,1012,394,133,81,384,493
269,Towson,27,12,15,.444,-8.69,-4.10,6,10,,,,,2010,2134,,,743,1656,.449,147,394,.373,377,503,.750,,901,399,244,91,417,565
270,Troy,27,11,16,.407,-12.31,-9.03,10,8,,,,,2468,2510,,,927,2193,.423,287,872,.329,327,500,.654,,1109,480,315,66,420,571
271,Tulane NCAA,33,23,10,.697,9.81,4.21,7,5,,,,,2546,2361,,,932,1971,.473,158,479,.330,524,844,.621,,1261,512,316,109,560,68
272,Tulsa NCAA,32,24,8,.750,12.38,4.66,15,3,,,,,2394,2156,,,786,1892,.415,221,649,.341,601,837,.718,,1327,469,233,111,450,611
273,UCLA NCAA,33,31,2,.939,23.74,10.08,16,2,,,,,2889,2438,,,1079,2102,.513,118,346,.341,613,865,.709,,1334,653,312,139,508,647
274,Utah State,29,21,8,.724,9.82,1.49,14,4,,,,,2283,1998,,,831,1650,.504,122,351,.348,499,773,.646,,1187,454,200,80,481,533
275,Utah NCAA,34,28,6,.824,16.40,4.96,15,3,,,,,2637,2206,,,902,1868,.483,219,598,.366,614,826,.743,,1351,536,174,101,485,559
276,Valparaiso,28,20,8,.714,-1.76,-8.95,14,4,,,,,2160,1936,,,773,1641,.471,209,528,.396,405,601,.674,,1044,452,190,66,399,537
277,Vanderbilt,28,13,15,.464,10.89,8.32,6,10,,,,,2044,1972,,,695,1719,.404,226,644,.351,428,602,.711,,1062,435,240,131,400,541
278,Vermont,27,14,13,.519,-5.63,-5.52,7,9,,,,,2047,2045,,,693,1736,.399,268,737,.364,393,566,.694,,1010,369,215,132,368,548
279,Villanova NCAA,33,25,8,.758,16.10,7.98,14,4,,,,,2588,2312,,,938,1948,.482,266,674,.395,446,618,.722,,1169,621,271,163,473,570
280,Virginia Commonwealth,30,16,14,.533,3.61,3.40,3,9,,,,,2098,2077,,,785,1692,.464,170,474,.359,358,624,.574,,1133,475,244,115,561,553
281,VMI,27,10,17,.370,-15.39,-3.93,6,8,,,,,2154,2370,,,752,1855,.405,247,732,.337,403,585,.689,,1071,365,260,74,485,629
282,Virginia Tech,35,25,10,.714,13.60,5.40,6,6,,,,,2640,2353,,,952,2005,.475,160,448,.357,576,831,.693,,1323,493,234,112,440,562
283,Virginia NCAA,34,25,9,.735,20.56,9.94,12,4,,,,,2633,2272,,,920,2071,.444,232,641,.362,561,779,.720,,1387,491,202,142,446,620
284,Wagner,27,10,17,.370,-14.76,-7.32,9,9,,,,,1980,2181,,,703,1625,.433,193,514,.375,381,569,.670,,948,345,187,77,455,535
285,Wake Forest NCAA,32,26,6,.813,19.15,10.83,12,4,,,,,2286,2011,,,794,1696,.468,223,615,.363,475,622,.764,,1147,423,171,180,435,450
286,Washington State,30,18,12,.600,13.17,8.70,10,8,,,,,2506,2318,,,902,1743,.517,174,442,.394,528,730,.723,,1094,510,219,98,536,583
287,Washington,27,9,18,.333,6.53,10.34,5,13,,,,,1805,1909,,,675,1618,.417,138,456,.303,317,480,.660,,905,411,271,55,489,527
288,Weber State NCAA,30,21,9,.700,8.47,3.54,11,3,,,,,2319,1990,,,830,1801,.461,168,488,.344,491,678,.724,,1105,427,197,79,390,587
289,West Virginia,26,13,13,.500,4.52,6.52,7,9,,,,,2010,2010,,,742,1642,.452,133,433,.307,393,583,.674,,977,357,224,104,413,528
290,Western Carolina,28,14,14,.500,-8.53,-2.86,8,6,,,,,2103,2163,,,772,1706,.453,168,485,.346,391,532,.735,,1059,391,196,109,477,548
291,Western Illinois,28,20,8,.714,-4.47,-9.70,13,5,,,,,2177,2016,,,790,1726,.458,178,503,.354,419,631,.664,,1113,452,231,99,439,520
292,Western Kentucky NCAA,31,27,4,.871,7.94,-2.29,17,1,,,,,2493,2152,,,916,1929,.475,172,474,.363,489,733,.667,,1224,480,267,128,486,592
293,Western Michigan,27,14,13,.519,0.79,0.90,9,9,,,,,1853,1846,,,695,1542,.451,122,350,.349,341,523,.652,,935,302,204,101,412,495
294,Wichita State,27,13,14,.481,-0.09,2.26,6,12,,,,,1740,1778,,,631,1507,.419,136,418,.325,342,513,.667,,1019,329,129,69,373,502
295,William & Mary,27,8,19,.296,-7.80,-2.80,6,8,,,,,1895,2030,,,680,1625,.418,130,435,.299,405,639,.634,,1062,333,157,153,403,523
296,Winthrop,27,7,20,.259,-15.31,-4.73,4,12,,,,,1938,2210,,,689,1654,.417,212,600,.353,348,513,.678,,914,427,217,64,428,525
297,Wisconsin,27,13,14,.481,8.27,6.94,7,11,,,,,1970,1934,,,672,1611,.417,186,561,.332,440,687,.640,,1062,343,172,103,448,608
298,Wright State,30,13,17,.433,-4.49,-1.35,6,8,,,,,2165,2229,,,756,1666,.454,144,439,.328,509,744,.684,,1015,433,266,75,554,613
299,Wyoming,28,13,15,.464,6.89,6.89,9,9,,,,,1876,1823,,,627,1453,.432,158,503,.314,464,678,.684,,964,353,194,177,408,580
300,Xavier NCAA,28,23,5,.821,10.45,-0.89,14,0,,,,,2348,2014,,,796,1720,.463,162,476,.340,594,825,.720,,1109,461,238,59,455,535
301,Yale,26,9,17,.346,-15.93,-9.81,5,9,,,,,1684,1815,,,617,1405,.439,84,294,.286,366,523,.700,,883,265,184,61,409,519
302,Youngstown State,28,18,10,.643,-8.74,-10.66,10,8,,,,,1952,1843,,,720,1633,.441,151,414,.365,361,550,.656,,1095,386,191,58,410,500

