,,Overall,Overall,Overall,Overall,Overall,Overall,Conf.,Conf.,Home,Home,Away,Away,Points,Points,,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals,School Totals
161,Loyola Marymount,28,18,10,.643,3.26,1.30,6,8,10,4,6,6,1883,1744,,1120,673,1485,.453,140,433,.323,397,537,.739,267,919,392,204,83,366,501
162,Loyola (MD),29,10,19,.345,-9.06,-4.03,6,10,6,5,3,14,2108,2254,,1175,763,1666,.458,177,546,.324,405,570,.711,268,919,405,247,69,407,520
163,Maine,28,5,23,.179,-13.28,-2.80,3,10,3,7,2,16,1757,1985,,1150,662,1518,.436,179,576,.311,254,393,.646,247,896,418,213,90,414,502
164,Manhattan,28,9,19,.321,-12.72,-6.51,7,9,4,8,3,10,1595,1769,,1120,569,1390,.409,194,559,.347,263,459,.573,281,893,319,194,66,445,600
165,Marist,28,12,16,.429,-8.25,-7.11,7,9,4,6,6,9,1910,1942,,1125,675,1485,.455,231,627,.368,329,486,.677,213,869,349,155,50,342,525
166,Marquette,27,23,4,.852,17.14,6.85,12,2,16,1,6,2,2131,1853,,1095,728,1556,.468,254,636,.399,421,547,.770,252,1023,375,139,127,367,483
167,Marshall,27,14,13,.519,-3.08,0.55,7,7,10,3,4,10,2147,2245,,1095,756,1735,.436,253,772,.328,382,525,.728,239,880,378,253,130,347,500
168,Maryland-Baltimore County,29,18,11,.621,-4.69,-5.31,10,4,10,4,6,6,1976,1841,,1190,708,1624,.436,238,699,.340,322,474,.679,252,984,399,225,67,365,488
169,Maryland-Eastern Shore,29,5,24,.172,-24.09,-5.90,3,11,3,7,2,17,1631,2091,,1165,598,1556,.384,154,554,.278,281,419,.671,232,880,323,171,61,381,515
170,Maryland,28,21,7,.750,17.57,9.57,12,5,14,2,6,4,2030,1806,,1120,715,1551,.461,211,578,.365,389,524,.742,308,1112,381,125,132,373,432
171,Massachusetts-Lowell,29,14,15,.483,-7.53,-6.64,6,8,8,5,4,10,2259,2207,,1170,801,1688,.475,229,663,.345,428,595,.719,268,1021,459,165,81,418,544
172,Massachusetts,27,10,17,.370,-1.73,-0.07,3,11,8,7,1,9,1916,1961,,1085,682,1541,.443,221,629,.351,331,482,.687,271,925,401,139,74,360,530
173,McNeese State,27,8,19,.296,-12.87,-5.17,4,10,7,7,1,12,1892,2000,,1085,677,1461,.463,145,468,.310,393,562,.699,281,935,381,126,82,411,424
174,Memphis,28,17,11,.607,9.55,4.02,9,6,13,2,3,6,2305,2150,,1130,810,1765,.459,210,635,.331,475,670,.709,345,1060,442,233,105,422,588
175,Mercer,28,11,17,.393,-0.82,0.14,6,10,9,5,2,11,2056,2003,,1125,714,1582,.451,209,609,.343,419,598,.701,280,962,356,185,70,361,501
176,Miami (FL),26,12,14,.462,10.92,8.58,4,10,10,5,0,7,1884,1823,,1045,663,1501,.442,222,652,.340,336,458,.734,234,868,334,168,85,309,376
177,Miami (OH),27,14,13,.519,2.15,2.31,6,8,10,3,3,8,1942,1866,,1085,667,1546,.431,233,693,.336,375,530,.708,291,999,308,150,81,343,491
178,Michigan State,28,23,5,.821,25.55,11.19,14,3,13,1,7,3,2243,1841,,1130,792,1629,.486,233,613,.380,426,576,.740,316,1164,543,156,156,365,493
179,Michigan,28,24,4,.857,21.23,9.27,13,4,16,0,6,3,1969,1634,,1120,715,1597,.448,220,637,.345,319,459,.695,238,991,370,175,120,256,402
180,Middle Tennessee,28,9,19,.321,-5.82,2.95,6,9,8,5,1,10,1902,2076,,1120,685,1621,.423,188,563,.334,344,504,.683,331,1062,307,170,75,459,503
181,Milwaukee,29,9,20,.310,-9.09,-2.70,4,12,6,6,3,11,2029,2185,,1165,720,1718,.419,229,658,.348,360,485,.742,274,1038,335,131,85,359,549
182,Minnesota,28,17,11,.607,12.42,9.99,7,10,13,3,1,7,2011,1943,,1120,703,1602,.439,151,467,.323,454,677,.671,342,1054,417,133,111,341,474
183,Mississippi State,27,20,7,.741,16.46,8.65,8,6,12,3,5,3,2107,1896,,1090,753,1586,.475,226,602,.375,375,514,.730,313,965,385,226,142,358,467
184,Mississippi Valley State,28,5,23,.179,-22.02,-5.91,3,11,5,4,0,19,1786,2181,,1125,636,1678,.379,146,481,.304,368,560,.657,323,1012,315,157,61,360,501
185,Mississippi,27,19,8,.704,13.34,7.12,9,5,11,3,5,4,2063,1895,,1085,723,1559,.464,223,611,.365,394,512,.770,279,944,396,210,99,353,491
186,Missouri-Kansas City,28,10,18,.357,-5.88,-0.69,5,8,8,3,2,13,1955,2059,,1130,681,1578,.432,225,631,.357,368,529,.696,235,853,309,201,80,338,567
187,Missouri State,29,16,13,.552,-0.20,-0.80,10,6,11,3,5,8,2029,1958,,1165,713,1548,.461,205,587,.349,398,576,.691,247,916,329,206,114,362,493
188,Missouri,26,12,14,.462,7.71,9.02,3,11,8,6,1,7,1749,1783,,1050,617,1439,.429,219,599,.366,296,424,.698,277,903,288,123,44,372,515
189,Monmouth,30,10,20,.333,-10.90,-3.73,9,8,6,5,4,11,1917,2132,,1220,660,1637,.403,144,493,.292,453,658,.688,310,1045,329,210,84,444,609
190,Montana State,26,12,14,.462,-7.32,-4.36,9,7,7,4,4,10,2022,2081,,1040,695,1530,.454,235,641,.367,397,546,.727,236,878,389,143,40,323,464
191,Montana,26,20,6,.769,2.19,-4.98,13,2,10,1,8,4,2022,1798,,1045,729,1481,.492,219,570,.384,345,502,.687,230,877,373,172,70,307,499
192,Morehead State,29,11,18,.379,-7.36,-1.54,7,9,7,6,3,11,2148,2232,,1175,756,1756,.431,229,659,.347,407,575,.708,324,1036,382,166,120,357,496
193,Morgan State,25,8,17,.320,-14.03,-8.25,3,9,6,5,1,12,1801,1929,,1010,633,1592,.398,136,418,.325,399,556,.718,325,902,311,191,44,342,504
194,Mount St. Mary's,29,8,21,.276,-14.27,-5.23,5,11,4,8,4,13,1960,2150,,1160,688,1643,.419,209,680,.307,375,559,.671,276,970,328,135,100,388,540
195,Murray State,27,23,4,.852,8.35,-5.21,14,2,14,1,9,3,2264,1827,,1080,822,1648,.499,216,618,.350,404,548,.737,295,1012,494,218,125,326,448
196,Navy,27,9,18,.333,-11.10,-3.73,6,10,7,6,2,12,1788,1987,,1080,636,1581,.402,181,583,.310,335,467,.717,324,1021,344,145,51,383,464
197,Omaha,27,18,9,.667,-1.16,-2.36,12,2,10,2,8,7,2152,2085,,1090,806,1683,.479,246,624,.394,294,405,.726,221,871,357,158,49,264,415
198,Nebraska,28,15,13,.536,16.70,10.52,5,12,11,5,2,7,2013,1805,,1120,709,1649,.430,214,632,.339,381,538,.708,293,1012,368,199,120,275,445
199,Nevada-Las Vegas,27,15,12,.556,2.00,0.19,9,6,9,6,5,4,1998,1949,,1085,689,1614,.427,218,647,.337,402,586,.686,360,1044,349,164,108,353,490
200,Nevada,27,25,2,.926,17.84,2.55,12,2,13,0,8,2,2193,1780,,1080,742,1594,.465,236,685,.345,473,653,.724,246,1014,417,172,106,278,456
201,New Hampshire,26,3,23,.115,-19.43,-4.89,1,12,3,10,0,13,1567,1823,,1040,563,1513,.372,229,705,.325,212,346,.613,245,893,288,102,52,315,486
202,New Mexico State,28,24,4,.857,9.63,-0.71,12,1,15,1,8,1,2161,1827,,1125,757,1679,.451,246,767,.321,401,595,.674,367,1060,400,162,70,332,511
203,New Mexico,26,11,15,.423,0.36,3.08,5,9,7,7,4,7,1969,1981,,1040,656,1535,.427,242,685,.353,415,587,.707,266,950,350,180,94,381,505
204,New Orleans,26,16,10,.615,-7.88,-6.11,11,4,12,2,4,8,1873,1783,,1060,676,1527,.443,149,436,.342,372,538,.691,311,928,391,247,110,416,491
205,Niagara,29,12,17,.414,-11.03,-7.41,5,11,8,7,4,9,2095,2200,,1160,724,1726,.419,236,663,.356,411,562,.731,293,1041,320,119,109,354,459
206,Nicholls State,27,12,15,.444,-11.65,-5.48,5,9,7,2,3,13,1963,2015,,1090,705,1684,.419,283,779,.363,270,354,.763,249,919,378,176,116,342,507
207,NJIT,29,20,9,.690,-3.51,-5.91,8,6,10,3,10,6,2044,1944,,1170,705,1587,.444,202,593,.341,432,609,.709,215,1000,322,190,81,361,494
208,Norfolk State,28,17,11,.607,-8.30,-7.94,12,1,10,1,7,7,2071,1954,,1135,707,1590,.445,220,583,.377,437,617,.708,259,991,361,166,125,413,606
209,North Alabama,29,9,20,.310,-11.75,-1.67,6,8,7,3,2,17,1935,2140,,1165,672,1711,.393,217,723,.300,374,563,.664,301,1038,299,185,69,395,561
210,North Carolina-Asheville,28,4,24,.143,-18.25,-1.93,2,12,3,9,1,13,1676,2051,,1125,593,1469,.404,198,618,.320,292,392,.745,268,844,299,180,78,418,488
211,North Carolina A&T,27,15,12,.556,-12.13,-8.53,10,3,8,2,7,10,1896,1913,,1085,698,1503,.464,196,551,.356,304,457,.665,233,864,382,177,89,355,435
212,North Carolina Central,28,14,14,.500,-11.02,-10.38,9,5,9,2,4,11,2041,1885,,1125,736,1608,.458,178,570,.312,391,542,.721,331,1047,435,186,76,435,504
213,North Carolina-Greensboro,29,24,5,.828,3.72,-1.50,13,3,13,1,9,4,2210,1943,,1165,810,1767,.458,222,655,.339,368,526,.700,321,1000,374,259,112,340,521
214,North Carolina State,28,20,8,.714,16.88,5.88,8,7,14,3,3,5,2305,1997,,1130,847,1801,.470,234,640,.366,377,534,.706,376,1082,450,214,107,370,555
215,North Carolina-Wilmington,30,9,21,.300,-7.58,-1.68,5,12,5,9,2,11,2302,2434,,1215,807,1802,.448,241,678,.355,447,616,.726,349,1107,455,138,55,404,536
216,North Carolina,27,22,5,.815,25.44,11.03,12,2,12,2,9,1,2352,1963,,1085,851,1794,.474,237,630,.376,413,558,.740,345,1168,522,207,98,371,473
217,North Dakota State,28,14,14,.500,-3.90,-1.44,8,6,10,3,3,8,2047,2032,,1130,707,1551,.456,264,738,.358,369,476,.775,185,887,331,137,62,306,417
218,North Dakota,27,11,16,.407,-8.35,-3.04,5,9,8,6,3,10,1993,1955,,1080,734,1588,.462,220,588,.374,305,436,.700,210,909,366,162,74,350,435
219,North Florida,30,14,16,.467,-3.55,-0.05,8,7,8,3,5,12,2269,2327,,1205,828,1840,.450,272,806,.337,341,492,.693,337,1137,474,199,151,500,536
220,North Texas,28,20,8,.714,1.55,-3.37,8,7,12,2,6,6,1986,1735,,1125,720,1609,.447,240,699,.343,306,455,.673,302,1041,362,186,68,363,499
221,Northeastern,28,18,10,.643,4.02,-0.45,12,4,11,2,6,6,2114,1989,,1145,725,1516,.478,268,699,.383,396,523,.757,195,884,394,177,63,331,457
222,Northern Arizona,27,9,18,.333,-10.68,-6.01,7,10,5,7,4,11,1976,2102,,1085,685,1580,.434,217,644,.337,389,561,.693,251,917,334,172,63,314,472
223,Northern Colorado,26,17,9,.654,-3.96,-6.59,11,4,8,2,9,5,2008,1809,,1050,690,1490,.463,252,685,.368,376,528,.712,254,921,349,130,75,320,436
224,Northern Illinois,27,12,15,.444,2.21,1.45,5,9,8,5,3,9,1987,1922,,1095,744,1571,.474,179,508,.352,320,441,.726,243,947,306,146,52,340,513
225,Northern Iowa,29,14,15,.483,-0.90,1.07,9,7,9,4,3,8,1931,1930,,1160,662,1574,.421,241,686,.351,366,493,.742,229,950,322,138,61,337,478
226,Northern Kentucky,29,21,8,.724,4.91,-2.90,11,5,16,1,5,7,2299,1984,,1170,809,1678,.482,256,712,.360,425,636,.668,308,1072,492,177,114,366,563
227,Northwestern State,27,10,17,.370,-15.85,-4.43,5,9,7,6,3,11,1805,1998,,1090,640,1577,.406,172,579,.297,353,528,.669,308,976,303,177,121,438,510
228,Northwestern,27,12,15,.444,10.65,9.06,3,13,9,6,1,8,1788,1745,,1085,621,1531,.406,195,614,.318,351,483,.727,244,918,382,145,113,301,484
229,Notre Dame,27,13,14,.481,9.05,7.90,3,11,11,7,1,6,1898,1867,,1080,648,1624,.399,228,724,.315,374,491,.762,310,1001,352,151,131,262,377
230,Oakland,29,13,16,.448,-3.10,-1.20,9,7,7,6,6,10,2223,2232,,1165,767,1639,.468,278,724,.384,411,552,.745,245,914,494,161,85,371,477
231,Ohio State,27,17,10,.630,15.56,9.82,7,9,11,5,4,5,1891,1736,,1080,659,1474,.447,202,576,.351,371,511,.726,251,934,378,158,69,346,488
232,Ohio,26,12,14,.462,-3.11,3.13,4,10,10,4,2,8,1822,1942,,1055,676,1557,.434,161,536,.300,309,504,.613,286,970,369,172,96,392,431
233,Oklahoma State,27,10,17,.370,6.98,11.02,3,11,7,6,1,9,1809,1918,,1080,625,1483,.421,228,610,.374,331,483,.685,259,923,354,156,108,340,431
234,Oklahoma,27,17,10,.630,15.59,11.82,5,9,9,4,5,5,1919,1817,,1085,699,1580,.442,178,528,.337,343,504,.681,265,1045,346,159,94,335,428
235,Old Dominion,28,22,6,.786,4.94,-2.06,12,3,14,1,7,3,1905,1709,,1120,680,1624,.419,224,622,.360,321,483,.665,336,1104,366,165,130,323,456
236,Oral Roberts,30,10,20,.333,-9.26,-1.61,6,9,6,6,3,13,2157,2317,,1205,799,1759,.454,249,693,.359,310,452,.686,314,1080,404,143,100,429,540
237,Oregon State,26,17,9,.654,8.63,3.75,9,5,10,3,5,4,1913,1786,,1045,685,1460,.469,172,535,.321,371,505,.735,260,936,401,155,142,329,442
238,Oregon,27,15,12,.556,9.69,5.17,6,8,11,4,3,7,1891,1769,,1085,672,1509,.445,205,604,.339,342,469,.729,255,915,371,197,114,322,475
239,Pacific,29,13,16,.448,-2.44,1.49,3,11,9,6,4,10,1946,2022,,1170,649,1523,.426,169,499,.339,479,637,.752,259,948,290,179,44,381,567
240,Penn State,27,11,16,.407,12.17,11.88,4,12,7,6,2,8,1884,1876,,1090,665,1591,.418,190,596,.319,364,526,.692,318,978,327,207,99,341,506
241,Pennsylvania,26,16,10,.615,2.04,-0.61,4,6,8,4,7,4,1939,1824,,1065,700,1524,.459,242,673,.360,297,465,.639,228,933,401,166,65,335,428
242,Pepperdine,29,13,16,.448,0.32,0.03,6,9,9,4,2,11,2208,2166,,1170,744,1681,.443,263,695,.378,457,607,.753,252,931,423,196,74,362,546
243,Pittsburgh,27,12,15,.444,9.28,5.91,2,12,10,6,0,9,1951,1860,,1090,653,1537,.425,184,563,.327,461,659,.700,320,1003,323,190,107,371,500
244,Portland State,27,13,14,.481,-9.27,-5.19,8,8,10,4,2,9,2106,2041,,1090,729,1703,.428,199,637,.312,449,644,.697,422,1086,371,229,111,396,589
245,Portland,29,7,22,.241,-10.02,0.57,0,14,6,10,1,11,1921,2179,,1170,651,1560,.417,198,613,.323,421,621,.678,210,943,350,161,114,391,550
246,Prairie View,26,14,12,.538,-9.07,-6.83,12,1,7,0,7,12,1905,1945,,1040,666,1554,.429,157,505,.311,416,627,.663,308,880,328,219,40,348,579
247,Presbyterian,29,17,12,.586,-3.44,-4.98,9,5,11,2,6,10,2284,2096,,1165,775,1713,.452,312,813,.384,422,576,.733,260,991,458,174,56,293,498
248,Princeton,23,15,8,.652,-2.21,-0.92,7,3,7,3,7,4,1614,1578,,930,565,1371,.412,176,564,.312,308,415,.742,229,836,251,141,59,280,376
249,Providence,28,15,13,.536,7.80,6.34,5,10,10,6,4,5,1988,1947,,1135,683,1637,.417,186,560,.332,436,633,.689,341,1025,405,208,109,358,494
250,Purdue,27,20,7,.741,20.89,11.97,13,3,13,0,5,5,2067,1826,,1090,721,1622,.445,270,739,.365,355,477,.744,329,990,381,174,112,291,469
251,Quinnipiac,27,15,12,.556,-5.73,-7.32,10,6,7,6,7,5,1986,1943,,1110,643,1522,.422,294,801,.367,406,573,.709,283,980,341,143,51,365,455
252,Radford,28,19,9,.679,1.53,-1.47,11,3,11,2,8,6,2094,1923,,1130,761,1635,.465,243,638,.381,329,460,.715,278,985,402,169,83,317,453
253,Rhode Island,26,12,14,.462,1.45,1.52,5,9,7,5,3,7,1759,1761,,1045,620,1498,.414,125,487,.257,394,582,.677,313,966,304,183,109,338,473
254,Rice,28,11,17,.393,-5.70,-0.89,6,9,8,6,3,11,2086,2190,,1145,703,1636,.430,245,700,.350,435,639,.681,274,1072,373,146,98,388,508
255,Richmond,27,12,15,.444,-0.74,-1.15,6,8,7,8,4,5,1917,1906,,1080,704,1455,.484,206,591,.349,303,454,.667,149,785,419,207,76,282,395
256,Rider,28,15,13,.536,-4.25,-6.04,10,6,9,2,5,10,2146,2096,,1125,762,1701,.448,193,578,.334,429,695,.617,324,1035,402,261,93,376,532
257,Robert Morris,29,15,14,.517,-8.80,-7.10,10,6,11,3,4,11,2017,1959,,1170,705,1631,.432,228,651,.350,379,546,.694,305,979,410,215,79,429,584
258,Rutgers,27,13,14,.481,9.31,9.94,6,11,9,6,3,8,1820,1837,,1090,669,1614,.414,168,535,.314,314,501,.627,346,1053,329,174,109,351,476
259,Sacramento State,25,12,13,.480,-8.34,-6.25,6,10,8,4,3,9,1765,1713,,1010,657,1466,.448,122,391,.312,329,488,.674,258,868,339,192,88,322,464
260,Sacred Heart,29,13,16,.448,-8.01,-7.37,9,7,8,2,4,13,2315,2291,,1165,800,1758,.455,224,618,.362,491,649,.757,324,1115,431,158,121,425,518
261,Saint Francis (PA),27,15,12,.556,-8.17,-5.57,11,5,10,3,5,9,2063,2041,,1080,737,1685,.437,206,605,.340,383,538,.712,354,1025,353,188,78,340,480
262,Saint Joseph's,27,11,16,.407,-0.84,1.98,4,10,9,4,1,10,1890,1966,,1080,647,1577,.410,237,710,.334,359,486,.739,213,922,324,147,85,250,387
263,Saint Louis,27,17,10,.630,4.00,1.26,8,6,13,2,4,6,1802,1728,,1080,635,1526,.416,153,503,.304,379,633,.599,356,1061,345,201,107,357,478
264,Saint Mary's (CA),29,19,10,.655,12.35,3.42,10,4,13,2,5,5,2157,1898,,1165,780,1641,.475,220,582,.378,377,510,.739,294,1019,305,174,69,303,508
265,Saint Peter's,28,8,20,.286,-12.18,-5.82,5,11,5,6,2,14,1748,1926,,1140,611,1439,.425,163,504,.323,363,507,.716,264,906,262,148,150,428,545
266,Sam Houston State,28,19,9,.679,-2.17,-5.29,14,1,12,1,6,8,2105,1938,,1145,755,1702,.444,259,709,.365,336,455,.738,297,1009,460,217,85,355,560
267,Samford,29,16,13,.552,0.89,-2.51,6,10,11,4,5,9,2268,2164,,1195,808,1704,.474,228,592,.385,424,586,.724,268,1080,408,208,110,416,494
268,San Diego State,27,18,9,.667,5.52,1.63,10,4,13,2,4,5,1987,1833,,1080,691,1535,.450,207,570,.363,398,545,.730,285,977,395,165,87,348,501
269,San Diego,29,17,12,.586,6.09,3.87,6,8,12,4,4,7,2096,1986,,1175,744,1612,.462,225,650,.346,383,519,.738,235,988,439,167,94,376,523
270,San Francisco,28,21,7,.750,10.50,1.38,9,5,13,1,6,5,2127,1847,,1125,783,1667,.470,232,652,.356,329,504,.653,300,1028,399,175,91,290,477
271,San Jose State,26,3,23,.115,-15.14,1.14,0,14,3,10,0,10,1689,2079,,1050,593,1470,.403,165,521,.317,338,517,.654,284,960,345,103,46,417,442
272,Santa Clara,28,15,13,.536,-1.50,1.53,7,7,11,6,3,5,1922,1976,,1135,672,1502,.447,212,593,.358,366,518,.707,218,939,379,128,101,398,534
273,Savannah State,27,10,17,.370,-20.04,-7.23,7,6,6,4,3,13,2069,2392,,1085,728,1829,.398,308,1055,.292,305,456,.669,328,1028,411,213,82,417,485
274,Seattle,27,15,12,.556,-1.13,-4.41,3,9,10,4,3,8,1996,1851,,1080,699,1566,.446,195,507,.385,403,568,.710,271,985,317,123,96,342,540
275,Seton Hall,27,16,11,.593,10.45,8.30,7,8,9,4,3,7,1991,1933,,1085,708,1574,.450,187,567,.330,388,542,.716,265,941,364,187,107,347,494
276,Siena,29,15,14,.517,-7.30,-5.99,10,6,6,7,7,6,1853,1891,,1180,674,1552,.434,254,747,.340,251,381,.659,222,846,363,172,80,288,408
277,South Alabama,27,13,14,.481,-4.04,-2.68,6,8,11,5,2,9,1984,1949,,1095,698,1527,.457,226,626,.361,362,542,.668,240,896,381,162,113,363,533
278,South Carolina State,29,7,22,.241,-16.34,-6.64,5,8,5,5,2,17,2008,2201,,1170,681,1615,.422,162,497,.326,484,652,.742,324,972,312,144,56,419,576
279,South Carolina Upstate,29,6,23,.207,-14.54,-4.23,1,14,5,7,1,14,1973,2147,,1170,707,1707,.414,246,750,.328,313,439,.713,281,954,401,187,89,399,567
280,South Carolina,27,14,13,.519,8.07,9.87,9,5,10,5,3,7,2001,1997,,1085,697,1623,.429,207,565,.366,400,588,.680,327,988,356,164,127,380,525
281,South Dakota State,30,23,7,.767,6.69,-4.69,13,2,13,1,7,5,2554,2201,,1200,901,1784,.505,300,727,.413,452,582,.777,225,1147,451,186,57,356,503
282,South Dakota,27,11,16,.407,-5.07,-2.35,5,9,6,6,4,8,1895,1912,,1085,653,1485,.440,205,595,.345,384,525,.731,193,846,347,148,63,297,473
283,South Florida,27,18,9,.667,6.35,0.62,7,7,14,3,3,5,1972,1782,,1105,650,1495,.435,186,556,.335,486,762,.638,371,1064,371,224,91,444,570
284,Southeast Missouri State,29,9,20,.310,-11.82,-4.49,4,12,5,7,2,13,2061,2220,,1185,748,1710,.437,244,680,.359,321,469,.684,275,1016,370,176,72,421,577
285,Southeastern Louisiana,28,14,14,.500,-8.00,-5.19,10,5,7,5,7,8,1866,1903,,1120,642,1477,.435,200,597,.335,382,540,.707,291,950,385,184,72,467,519
286,Southern California,28,15,13,.536,8.89,4.50,8,7,12,5,2,6,2136,2013,,1135,791,1715,.461,229,599,.382,325,501,.649,277,1021,459,175,93,342,493
287,SIU Edwardsville,28,9,19,.321,-14.26,-4.57,5,11,6,7,2,11,2049,2283,,1160,717,1720,.417,179,606,.295,436,618,.706,328,976,338,185,61,397,564
288,Southern Illinois,29,15,14,.517,1.69,0.42,8,8,7,6,6,7,1966,1929,,1160,716,1542,.464,194,519,.374,340,493,.690,263,968,404,201,117,415,434
289,Southern Methodist,26,13,13,.500,5.48,2.67,5,9,10,6,2,5,1895,1822,,1040,687,1569,.438,220,648,.340,301,419,.718,325,947,371,159,101,281,418
290,Southern Mississippi,27,17,10,.630,3.08,-0.75,9,6,10,3,6,5,1972,1751,,1090,746,1596,.467,214,568,.377,266,410,.649,230,971,464,211,92,277,410
291,Southern Utah,26,14,12,.538,-9.28,-6.49,9,8,10,2,4,10,1998,1972,,1055,686,1552,.442,212,626,.339,414,584,.709,232,968,330,158,92,354,545
292,Southern,27,5,22,.185,-17.13,-6.13,4,10,5,4,0,16,1747,2024,,1085,635,1458,.436,150,451,.333,327,498,.657,275,828,303,184,73,437,606
293,St. Bonaventure,27,13,14,.481,2.55,0.29,9,5,7,5,5,6,1817,1756,,1105,669,1550,.432,165,511,.323,314,429,.732,269,934,338,166,120,344,457
294,St. Francis (NY),29,16,13,.552,-9.35,-7.61,8,8,10,2,6,10,2063,2031,,1160,732,1742,.420,236,705,.335,363,528,.688,308,1056,327,164,121,362,560
295,St. John's (NY),28,20,8,.714,10.82,5.57,8,7,11,3,4,5,2198,2051,,1135,787,1724,.456,244,668,.365,380,523,.727,214,945,403,247,93,302,517
296,Stanford,27,14,13,.519,5.61,5.87,7,8,9,2,4,8,1965,1972,,1085,700,1528,.458,177,558,.317,388,567,.684,270,967,341,160,122,409,517
297,Stephen F. Austin,26,14,12,.538,-9.24,-5.29,7,7,10,5,3,6,1837,1848,,1050,653,1468,.445,170,507,.335,361,530,.681,276,875,308,175,102,405,499
298,Stetson,29,7,22,.241,-14.66,-2.66,3,11,7,8,0,14,2002,2269,,1165,733,1821,.403,202,647,.312,334,480,.696,335,1039,381,201,89,376,509
299,Stony Brook,28,22,6,.786,-1.82,-6.82,10,3,9,3,12,2,2017,1846,,1130,694,1644,.422,195,593,.329,434,607,.715,354,1154,316,167,119,399,541
300,Syracuse,27,18,9,.667,14.85,9.22,9,5,13,5,5,2,1884,1732,,1085,642,1528,.420,209,652,.321,391,571,.685,295,963,329,217,133,328,462
301,Temple,27,20,7,.741,8.58,4.54,10,4,11,2,7,4,2023,1914,,1100,713,1621,.440,207,620,.334,390,536,.728,250,923,402,239,60,300,481
302,Tennessee-Martin,27,10,17,.370,-10.31,-4.23,5,11,9,3,1,14,2039,2129,,1090,746,1684,.443,219,638,.343,328,438,.749,308,939,395,200,77,364,423
303,Tennessee State,28,9,19,.321,-10.76,-2.42,6,10,6,7,3,12,2022,2152,,1130,699,1623,.431,223,667,.334,401,577,.695,299,970,320,207,73,469,680
304,Tennessee Tech,29,7,22,.241,-14.66,-2.10,3,13,5,10,2,12,1973,2217,,1170,695,1668,.417,198,577,.343,385,609,.632,311,1047,370,206,129,484,518
305,Tennessee,27,24,3,.889,22.64,8.14,12,2,16,0,6,2,2257,1835,,1095,820,1626,.504,184,511,.360,433,566,.765,276,1024,512,155,149,306,476
306,Texas A&M-Corpus Christi,27,11,16,.407,-7.61,-3.91,6,8,8,6,3,9,1800,1787,,1085,654,1533,.427,169,525,.322,323,466,.693,300,983,359,172,83,386,512
307,Texas A&M,26,12,14,.462,8.26,8.37,5,9,8,7,3,5,1876,1879,,1040,670,1506,.445,171,553,.309,365,524,.697,303,986,325,174,121,370,436
308,Texas-Arlington,28,13,15,.464,-1.36,1.67,9,6,8,5,5,10,1918,1976,,1145,650,1626,.400,187,651,.287,431,578,.746,322,1059,350,185,78,401,539
309,Texas Christian,27,18,9,.667,14.52,8.74,6,8,12,3,2,6,2028,1872,,1085,727,1588,.458,207,598,.346,367,527,.696,294,989,447,183,115,355,436
310,Texas-El Paso,26,8,18,.308,-6.68,-0.47,3,12,8,7,0,11,1701,1816,,1050,580,1426,.407,180,551,.327,361,541,.667,257,973,280,116,76,429,494
311,Texas-Rio Grande Valley,30,16,14,.533,-0.77,0.01,7,6,10,7,6,7,2082,2078,,1205,704,1740,.405,160,514,.311,514,741,.694,306,1002,400,290,87,390,631
312,Texas-San Antonio,27,15,12,.556,2.29,0.11,9,5,10,3,4,6,2136,2030,,1090,775,1781,.435,251,724,.347,335,454,.738,285,1051,356,187,70,334,499
313,Texas Southern,26,15,11,.577,-5.52,-4.27,10,3,7,1,8,10,2061,2049,,1045,712,1634,.436,196,616,.318,441,654,.674,326,1019,387,198,77,385,471
314,Texas State,28,22,6,.786,3.69,-2.46,11,4,11,3,9,3,2070,1789,,1130,743,1636,.454,214,618,.346,370,562,.658,332,1068,429,199,67,369,554
315,Texas Tech,27,22,5,.815,21.68,6.80,10,4,15,1,4,3,1950,1548,,1080,697,1477,.472,195,528,.369,361,508,.711,239,915,361,194,129,346,484
316,Texas,27,15,12,.556,16.12,10.79,7,7,11,5,2,6,1931,1787,,1085,683,1564,.437,226,685,.330,339,479,.708,274,939,346,169,113,304,461
317,Toledo,27,21,6,.778,8.77,0.58,9,5,12,2,6,4,2097,1843,,1090,748,1661,.450,260,704,.369,341,438,.779,281,1087,449,132,120,327,423
318,Towson,29,10,19,.345,-7.19,-2.62,6,10,5,6,4,8,1966,2067,,1190,733,1686,.435,165,503,.328,335,486,.689,353,1080,291,138,90,357,517
319,Troy,26,11,15,.423,-5.70,-0.91,4,10,8,6,3,9,1931,1966,,1050,687,1490,.461,204,599,.341,353,491,.719,238,892,355,145,120,359,451
320,Tulane,26,4,22,.154,-7.84,2.89,0,14,3,10,0,8,1732,2011,,1040,602,1473,.409,175,565,.310,353,512,.689,249,952,362,119,95,399,449
321,Tulsa,28,16,12,.571,4.86,4.29,6,9,12,3,3,7,2005,1989,,1130,674,1497,.450,190,556,.342,467,677,.690,199,967,366,152,65,355,469
322,UCLA,28,15,13,.536,8.36,6.65,8,7,12,5,3,5,2187,2139,,1130,786,1705,.461,215,612,.351,400,637,.628,329,1151,416,172,112,409,469
