,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
Rk,School,Conf,,W,L,Pts,Opp,MOV,,SOS,,OSRS,DSRS,SRS,ORtg,DRtg,NRtg
122,North Carolina-Greensboro,Southern,,24,5,76.2,67.0,9.21,,-1.50,,-0.20,3.93,3.72,104.10,98.40,5.70
123,Texas State,Sun Belt,,22,6,73.9,63.9,10.04,,-2.46,,-3.91,7.60,3.69,102.56,96.38,6.18
124,Utah Valley,WAC,,19,8,77.9,71.1,6.81,,-2.07,,3.69,-0.32,3.37,107.44,102.35,5.09
125,Loyola Marymount,WCC,,18,10,67.3,62.3,4.96,,1.30,,-6.86,10.11,3.26,101.95,97.08,4.87
126,Central Michigan,MAC (West),,19,8,83.2,75.8,7.37,,-0.63,,7.87,-4.62,3.25,107.91,103.19,4.72
127,Southern Mississippi,CUSA,,17,10,73.0,64.9,8.19,,-0.75,,-2.21,5.28,3.08,104.84,99.47,5.37
128,Western Kentucky,CUSA,,16,12,71.8,70.1,1.68,,1.19,,0.65,2.22,2.87,103.38,98.61,4.77
129,Drake,MVC,,21,8,75.9,70.9,5.03,,0.19,,4.50,-1.64,2.86,105.64,101.30,4.33
130,College of Charleston,CAA,,22,8,74.8,69.1,5.67,,-2.59,,0.20,2.44,2.65,108.53,103.64,4.89
131,St. Bonaventure,A-10,,13,14,67.3,65.0,2.26,,0.29,,-3.64,6.19,2.55,100.96,96.23,4.74
132,Louisiana Tech,CUSA,,18,10,73.1,67.1,5.93,,-2.12,,-1.22,3.57,2.35,103.16,99.25,3.91
133,Harvard,Ivy,,14,9,72.0,70.0,2.04,,0.73,,0.23,2.09,2.32,103.35,99.63,3.72
134,Texas-San Antonio,CUSA,,15,12,79.1,75.2,3.93,,0.11,,6.43,-4.14,2.29,105.17,101.23,3.94
135,Northern Illinois,MAC (West),,12,15,73.6,71.2,2.41,,1.45,,1.25,0.95,2.21,107.83,104.37,3.46
136,Montana,Big Sky,,20,6,77.8,69.2,8.62,,-4.98,,1.54,0.65,2.19,106.29,102.91,3.38
137,Miami (OH),MAC (East),,14,13,71.9,69.1,2.81,,2.31,,-0.81,2.96,2.15,105.96,102.66,3.30
138,George Mason,A-10,,15,12,71.5,69.8,1.74,,0.31,,1.03,1.03,2.05,104.34,100.67,3.67
139,Pennsylvania,Ivy,,16,10,74.6,70.2,4.42,,-0.61,,1.29,0.74,2.04,103.35,100.17,3.19
140,Nevada-Las Vegas,MWC,,15,12,74.0,72.2,1.81,,0.19,,2.41,-0.41,2.00,105.91,102.32,3.59
141,Kent State,MAC (East),,19,8,75.2,72.6,2.59,,0.94,,2.87,-0.89,1.98,107.06,104.08,2.99
142,Duquesne,A-10,,18,9,73.9,71.0,2.89,,-0.93,,2.42,-0.46,1.96,104.26,101.03,3.23
143,Georgia State,Sun Belt,,19,9,77.2,74.4,2.86,,0.77,,3.81,-1.86,1.96,106.30,102.89,3.40
144,Southern Illinois,MVC,,15,14,67.8,66.5,1.28,,0.42,,-3.64,5.34,1.69,102.43,99.70,2.73
145,North Texas,CUSA,,20,8,70.9,62.0,8.96,,-3.37,,-4.85,6.40,1.55,100.35,97.24,3.12
146,Radford,Big South,,19,9,74.8,68.7,6.11,,-1.47,,-0.63,2.16,1.53,107.51,104.62,2.88
147,Bucknell,Patriot,,18,10,77.3,73.5,3.79,,-2.31,,4.33,-2.85,1.48,105.11,103.13,1.98
148,Rhode Island,A-10,,12,14,67.7,67.7,-0.08,,1.52,,-1.63,3.07,1.45,100.27,98.77,1.50
149,Jacksonville State,OVC,,21,8,76.8,67.9,8.83,,-5.41,,-1.69,3.09,1.40,101.02,98.13,2.89
150,Austin Peay,OVC,,21,8,82.3,71.5,10.83,,-5.10,,4.01,-2.81,1.20,107.04,104.44,2.60
151,Eastern Michigan,MAC (West),,13,14,70.1,69.7,0.44,,5.09,,-4.62,5.74,1.13,103.30,101.58,1.72
152,Samford,Southern,,16,13,78.2,74.6,3.59,,-2.51,,3.73,-2.85,0.89,103.85,102.04,1.81
153,Wake Forest,ACC,,10,16,68.9,76.0,-7.08,,7.97,,0.77,0.12,0.89,104.61,103.11,1.51
154,Washington State,Pac-12,,11,16,77.2,77.9,-0.63,,1.34,,5.62,-4.92,0.71,108.46,107.89,0.58
155,Louisiana-Monroe,Sun Belt,,14,12,77.9,74.4,3.50,,-1.37,,3.39,-2.80,0.59,110.26,108.66,1.60
156,New Mexico,MWC,,11,15,75.7,76.2,-0.46,,3.08,,4.45,-4.10,0.36,103.25,102.20,1.06
157,Colgate,Patriot,,19,10,74.8,70.1,4.66,,-3.86,,1.02,-0.70,0.32,106.57,105.70,0.87
158,Pepperdine,WCC,,13,16,76.1,74.7,1.45,,0.03,,4.38,-4.07,0.32,105.36,104.45,0.91
159,Alabama-Birmingham,CUSA,,17,11,70.6,67.5,3.11,,-1.64,,-2.21,2.46,0.25,104.31,103.12,1.19
160,Colorado State,MWC,,11,16,75.5,75.4,0.11,,1.25,,2.79,-2.73,0.06,109.28,108.51,0.77
161,Coastal Carolina,Sun Belt,,13,13,76.5,71.8,4.65,,-1.93,,1.94,-1.95,-0.01,104.44,104.00,0.44
162,Brown,Ivy,,17,9,74.6,69.0,5.62,,-3.30,,-1.11,0.93,-0.18,97.22,97.64,-0.41
163,UC-Santa Barbara,Big West,,19,8,73.7,65.1,8.59,,-4.74,,-2.39,2.21,-0.18,104.97,104.30,0.66
164,Missouri State,MVC,,16,13,70.0,67.5,2.45,,-0.80,,-2.13,1.93,-0.20,103.85,102.86,1.00
165,Florida Atlantic,CUSA,,16,12,71.8,68.4,3.36,,-1.32,,-2.93,2.61,-0.32,99.49,98.92,0.57
166,Hawaii,Big West,,16,11,72.4,68.6,3.85,,-2.94,,-1.47,0.97,-0.50,104.15,104.84,-0.69
167,Richmond,A-10,,12,15,71.0,70.6,0.41,,-1.15,,-0.10,-0.64,-0.74,108.49,108.96,-0.47
168,Texas-Rio Grande Valley,WAC,,16,14,69.4,69.3,0.13,,0.01,,-2.59,1.82,-0.77,95.87,96.24,-0.37
169,Mercer,Southern,,11,17,73.4,71.5,1.89,,0.14,,-1.88,1.06,-0.82,103.04,103.34,-0.30
