,,,,,,,,,,,,SRS,SRS,SRS,Adjusted,Adjusted,Adjusted
260,Texas-Arlington,Southland,,10,17,73.9,79.9,-5.96,,-6.86,,-5.64,-7.45,-13.09,,,
261,Lehigh,Patriot,,11,16,75.2,78.9,-3.74,,-8.86,,-2.39,-10.74,-13.13,,,
262,Niagara,MAAC,,5,25,68.1,79.8,-11.73,,-1.01,,-5.51,-7.82,-13.32,,,
263,Central Michigan,MAC,,3,23,63.9,76.6,-12.69,,1.64,,-9.22,-4.14,-13.36,,,
264,Texas State,Southland,,12,14,65.2,70.2,-5.00,,-6.45,,-15.13,1.68,-13.45,,,
265,Middle Tennessee,OVC,,12,15,71.6,76.1,-4.44,,-6.71,,-8.40,-5.23,-13.62,,,
266,North Carolina A&T,MEAC,,15,15,68.2,71.9,-3.67,,-9.45,,-12.56,-1.49,-14.04,,,
267,Arkansas State,Sun Belt,,8,20,66.2,74.0,-7.79,,-4.79,,-11.51,-2.74,-14.25,,,
268,Harvard,Ivy,,6,20,66.8,71.0,-4.19,,-9.10,,-10.84,-3.65,-14.50,,,
269,Wagner,NEC,,10,17,73.3,80.8,-7.44,,-7.32,,-4.84,-9.92,-14.76,,,
270,Coastal Carolina,Big South,,6,20,71.4,79.8,-8.38,,-4.58,,-3.51,-11.37,-14.88,,,
271,Florida Atlantic,TAAC,,9,18,63.0,73.5,-10.44,,-2.70,,-12.68,-2.39,-15.06,,,
272,South Carolina State,MEAC,,15,13,68.9,70.6,-1.68,,-12.49,,-11.04,-4.05,-15.09,,,
273,Sam Houston State,Southland,,7,19,70.0,76.3,-6.35,,-6.61,,-10.75,-4.44,-15.19,,,
274,Georgia Southern,Southern (South),,8,20,67.6,74.8,-7.25,,-3.96,,-12.34,-2.96,-15.30,,,
275,Winthrop,Big South,,7,20,71.8,81.9,-10.07,,-4.73,,-2.07,-13.24,-15.31,,,
276,VMI,Southern (North),,10,17,79.8,87.8,-8.00,,-3.93,,3.27,-18.66,-15.39,,,
277,Alabama State,SWAC,,11,15,80.8,86.4,-5.62,,-8.27,,-0.94,-14.92,-15.86,,,
278,Yale,Ivy,,9,17,64.8,69.8,-5.04,,-9.81,,-14.40,-1.53,-15.93,,,
279,Maryland-Eastern Shore,MEAC,,13,14,70.2,70.3,-0.11,,-12.46,,-12.92,-3.04,-15.96,,,
280,Sacramento State,AWC,,6,21,66.0,78.1,-12.11,,-2.94,,-8.44,-7.95,-16.39,,,
281,Bethune-Cookman,MEAC,,12,16,76.5,80.4,-3.86,,-9.17,,-1.87,-14.86,-16.73,,,
282,Milwaukee,MW Coll,,3,24,67.6,80.4,-12.85,,-3.66,,-7.01,-9.96,-16.97,,,
283,Campbell,TAAC,,8,18,62.0,72.2,-10.23,,-5.23,,-14.63,-2.56,-17.19,,,
284,Central Connecticut State,Mid-Cont,,8,18,69.8,79.4,-9.62,,-8.62,,-8.48,-8.94,-17.43,,,
285,Tennessee-Martin,OVC,,7,20,67.2,78.4,-11.19,,-5.03,,-10.17,-7.40,-17.57,,,
286,Alcorn State,SWAC,,7,19,81.9,87.8,-5.88,,-9.08,,-1.11,-16.79,-17.90,,,
287,Army,Patriot,,12,16,73.9,79.4,-5.50,,-11.25,,-5.88,-12.08,-17.95,,,
288,Long Island University,NEC,,11,17,80.3,87.9,-7.64,,-8.62,,1.21,-19.24,-18.03,,,
289,Howard,MEAC,,9,18,70.6,78.3,-7.70,,-10.95,,-7.89,-10.46,-18.36,,,
290,St. Francis (NY),NEC,,9,18,75.7,83.1,-7.41,,-11.37,,-3.76,-15.02,-18.78,,,
291,Robert Morris,NEC,,4,23,68.8,81.0,-12.19,,-7.36,,-9.45,-10.10,-19.55,,,
292,Northeastern Illinois,Mid-Cont,,4,22,65.8,74.9,-9.08,,-7.90,,-14.52,-5.14,-19.66,,,
293,Grambling,SWAC,,11,17,80.4,85.4,-5.04,,-10.86,,-4.88,-14.81,-19.69,,,
294,Cornell,Ivy,,9,17,70.1,80.4,-10.31,,-8.73,,-6.95,-12.95,-19.89,,,
295,Delaware State,MEAC,,7,21,69.2,76.3,-7.07,,-12.30,,-10.85,-9.37,-20.22,,,
296,Chicago State,Mid-Cont,,6,20,75.8,91.6,-15.77,,-4.85,,0.16,-20.47,-20.31,,,
297,Columbia,Ivy,,4,22,61.2,73.9,-12.73,,-8.12,,-16.18,-6.26,-22.44,,,
298,Morgan State,MEAC,,5,22,68.2,83.3,-15.07,,-8.55,,-8.56,-14.66,-23.22,,,
299,Florida A&M,MEAC,,5,22,72.0,85.7,-13.70,,-8.54,,-7.23,-17.31,-24.54,,,
300,Lafayette,Patriot,,2,25,67.9,87.0,-19.11,,-7.03,,-9.50,-18.38,-27.88,,,
301,Cal Poly,AWC,,1,26,55.3,84.2,-28.89,,-0.65,,-18.50,-11.88,-30.38,,,
302,Prairie View,SWAC,,6,21,77.0,95.9,-18.93,,-7.20,,-8.67,-22.61,-31.28,,,
