,W-L%_x,AST_x,STL_x,BLK_x,Rk_x,SOS_x,OSRS_x,DSRS_x,FTr_x,3PAr_x,TS%_x,AST%_x,TRB%_x,TOV%_x,FGA_x,W-L%_y,AST_y,STL_y,BLK_y,Rk_y,SOS_y,OSRS_y,DSRS_y,FTr_y,3PAr_y,TS%_y,AST%_y,TRB%_y,TOV%_y,FGA_y,Round,Seed_int_x,Seed_int_y,ScoreDiff
TS%_x,0.4838626768949314,0.4793899460213565,-0.025489929765929755,-0.0009829777758624618,-0.32517209304214845,0.13085185717333706,0.4722633489624223,0.01095338392181198,0.07640432500573378,0.22398441741307962,1.0,0.30089990887262735,0.1601622413376071,0.003027352475150815,0.06689013151009508,-0.032248427390082365,-0.026385301662536838,0.03263033180092717,-0.008624279414497069,0.03194625227287051,-0.014374058209259756,-0.05446396524181787,0.003782738617005457,-0.014756557356510089,-0.008056606961998596,-0.06105083341631222,-0.02300380063578607,-0.017841153478820274,0.031114980658593475,0.006631228191507431,0.18510449664134754,-0.32277526286826774,0.045663556809662775,0.1994931246661197
AST%_x,0.1339400441844388,0.5996052385242013,-0.023163018167445898,-0.03821525675881718,-0.1660040087711473,0.08567655215412223,0.07658911325106697,0.14064990876989736,-0.08949918888927061,0.11683281884410256,0.30089990887262735,1.0,0.07283355749668283,0.10284897244109581,-0.05892730433843555,-0.01970856446016752,-0.02499411774230381,0.015382887252218268,-0.007264494178660657,0.021509325834471696,-0.033581051289576634,-0.025753194684697004,-0.030008895520347474,-0.015930659530981734,-0.009779436942904726,-0.023003800635786067,-0.0015097666630599135,-0.04030462400560757,-0.002911110635976427,-0.0204257368126202,0.0234698066789273,-0.12889229339211222,0.056401264625882276,0.059866796947855384
TRB%_x,0.41140286093953987,0.28938092713028385,-0.11840410378824015,0.2303750011672459,-0.3239698263019278,0.19549536349267127,0.24766677212576035,0.29931547110881346,0.1933307027223243,-0.38520877324589103,0.1601622413376071,0.07283355749668283,1.0,0.09230060805521637,0.21057925062539246,-0.016670185284742685,-0.023584688444470137,0.011723305003470871,-0.026229366494654953,0.06616607086349369,-0.062469398823906494,-0.04440776704422882,-0.04255435942594651,0.0008778558854671936,0.021041111364491872,-0.01784115347882036,-0.04030462400560755,-0.07161735868171651,-0.012188959198303883,0.009081925547761154,0.18967203056758064,-0.3667500513977144,0.08130630192422979,0.2129418518510009
TOV%_x,-0.30806050697374265,-0.16762480406471733,-0.08242447165698968,-0.01654938417711401,0.3502754889053105,-0.23779048056842622,-0.33120518825468065,-0.16467223188726185,0.3015887383710141,-0.13009020675656585,0.003027352475150815,0.10284897244109581,0.09230060805521637,1.0,-0.3724058282154892,0.05720104071577417,0.020050325601898896,0.03740415387005999,0.016481346108961865,-0.025785298617254877,0.018480334850953815,0.042335849741810684,0.010513850191362476,0.007555162779552775,0.013836480566278052,0.031114980658593538,-0.002911110635976461,-0.012188959198303926,-0.025883863920200704,0.021477828960655077,-0.16633706235753745,0.30925194588542326,-0.062307478944075546,-0.20376274785297208
FGA_x,0.41416401432040295,0.6936156808905065,0.6062212755456384,0.46867543602458905,-0.39660099631966045,0.38446204643955273,0.6821444212461062,-0.010758085681442878,-0.21887942859299866,-0.1464229369203554,0.06689013151009508,-0.05892730433843555,0.21057925062539246,-0.3724058282154892,1.0,0.0006303743766869967,0.013964575299052429,0.00199639428410509,0.006151277632860916,0.0692112856224428,-0.04712748989277967,-0.02332501410800791,-0.031150913331412365,0.012740028139172103,-0.025731086002585602,0.006631228191507435,-0.02042573681262025,0.00908192554776113,0.021477828960655098,0.030781434824534222,0.44984083669994035,-0.5010573060226117,0.03405499920812366,0.3777378229222318
W-L%_y,-0.06550466564719491,-0.019524376101194993,0.0015312625320432916,-0.028193747617106763,0.08611744592990098,-0.06429331500456185,-0.07684529314216684,-0.034197940990132424,-0.017309739713796173,0.004238277751141463,-0.032248427390082365,-0.01970856446016752,-0.016670185284742685,0.05720104071577417,0.0006303743766869967,1.0,0.5097345820556494,0.28814931541906424,0.29796716870577517,-0.5134953988424354,0.19407516190384544,0.46293841067818187,0.36194360229393474,0.028718518260817165,-0.026953982538230514,0.4838626768949318,0.13394004418443883,0.4114028609395397,-0.3080605069737423,0.4141640143204032,0.37302721337413663,0.10667687788681757,-0.6378646925938887,-0.3692066562167579
AST_y,-0.019524376101194934,-0.013611480992869728,0.022341003765668815,-0.01004833130688442,0.07478932235354904,-0.06029934394790244,-0.04872453108497795,-0.040747005266580594,0.001034482465173078,-0.02241241193658032,-0.026385301662536838,-0.02499411774230381,-0.023584688444470137,0.020050325601898896,0.013964575299052429,0.5097345820556494,1.0,0.4216944073246821,0.3468370927702875,-0.4641306325320268,0.35770728905494115,0.6605802999180245,0.08279666099960552,-0.1894160496227523,-0.09704137361628165,0.47938994602135543,0.5996052385242009,0.28938092713028324,-0.16762480406471703,0.6936156808905064,0.3796902781232402,0.07423328538964612,-0.5236327204880107,-0.35718310751317034
STL_y,0.0015312625320432894,0.022341003765668794,-0.005508946666796565,-0.012831455206357117,0.028135292332134198,-0.011375922645928117,-0.004549289356778836,-0.0082191771612749,0.013972027032443895,-0.007512180578998305,0.03263033180092717,0.015382887252218268,0.011723305003470871,0.03740415387005999,0.00199639428410509,0.28814931541906424,0.4216944073246821,1.0,0.2823082123505144,-0.18229740073948023,0.111309879595626,0.37330036741005435,-0.03167347590221518,-0.09273031212876015,-0.06766815837131161,-0.025489929765929686,-0.023163018167445818,-0.11840410378824016,-0.0824244716569894,0.6062212755456384,0.24585890009043415,0.0027553760215852188,-0.2306622050037228,-0.2135622803781858
BLK_y,-0.028193747617106833,-0.010048331306884406,-0.012831455206357097,-0.049355416358203216,0.08333965052542697,-0.06926881537026834,-0.03786161716421396,-0.06087834330010693,0.0074331843507006775,0.031313140538207114,-0.008624279414497069,-0.007264494178660657,-0.026229366494654953,0.016481346108961865,0.006151277632860916,0.29796716870577517,0.3468370927702875,0.2823082123505144,1.0,-0.3403641910545019,0.32627239017009624,0.3673447104283672,0.19575710766504928,0.038455222531951515,-0.26896133450669973,-0.0009829777758626002,-0.03821525675881721,0.23037500116724557,-0.016549384177113945,0.46867543602458905,0.25617792230542036,0.08606079037349354,-0.4099023759245927,-0.2640753281484772
Rk_y,0.08611744592990113,0.0747893223535491,0.028135292332134205,0.08333965052542698,-0.050126464239861154,0.07459471232501094,0.08895102388536018,0.05392236808270381,0.024502464353029604,-0.023952531078687368,0.03194625227287051,0.021509325834471696,0.06616607086349369,-0.025785298617254877,0.0692112856224428,-0.5134953988424354,-0.4641306325320268,-0.18229740073948023,-0.3403641910545019,1.0,-0.8668983111715467,-0.6692545432361007,-0.616976742221347,0.0814570515476633,0.05200802749685065,-0.3251720930421493,-0.16600400877114738,-0.32396982630192767,0.3502754889053106,-0.3966009963196608,-0.3637188735750674,-0.21545963479827782,0.8161549205177296,0.4872458046540915
